"expgender","exprace","age","sex","lab_or_online","gambfalgroup","gambfalDV","anch1group","anchoring1","anch2group","anchoring2","anch3group","anchoring3","anch4group","anchoring4"
"male","6",22,"f",0,"two_sixes",1.73205080756888,"high",4500,"high",2e+06,"high",37000,"high",30000
"male","6",20,"m",0,"three_sixes",1.73205080756888,"high",5000,"low",250000,"high",8000,"low",150
"male","6",23,"f",0,"two_sixes",2.23606797749979,"low",1660,"high",4500000,"low",2300,"low",150
"male","6",19,"f",0,"two_sixes",3,"high",5600,"high",4885679,"low",3500,"high",48900
"male","6",26,"m",0,"three_sixes",1,"low",2946,"low",365680,"high",45300,"high",28846
"male","6",18,"f",0,"two_sixes",2.44948974278318,"low",1750,"high",4500000,"low",20000,"high",45000
"male","6",19,"f",0,"three_sixes",2.44948974278318,"low",NA,"low",200001,"low",2500,"low",101
"male","brazilwhite",20,"m",0,"three_sixes",1,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",19,"m",0,"three_sixes",1,"low",3106.85,"low",NA,"low",NA,"low",200
"male","brazilwhite",22,"f",0,"two_sixes",4.47213595499958,"high",1864.11,"low",NA,"high",39369.6,"low",250
"male","brazilwhite",21,"f",0,"three_sixes",1.73205080756888,"low",1864.11,"low",3e+05,"low",9842.4,"low",150
"male","brazilwhite",19,"f",0,"two_sixes",4.47213595499958,"low",NA,"low",NA,"low",NA,"low",150
"male","brazilwhite",24,"m",0,"three_sixes",0,"low",3106.85,"high",4e+06,"high",41010,"high",1000
"male","brazilwhite",19,"f",0,"three_sixes",1.73205080756888,"low",1864.11,"high",4502000,"low",3936.96,"low",NA
"male","brazilwhite",24,"m",0,"three_sixes",0,"low",3355.398,"high",3600000,"low",26246.4,"low",NA
"male","brazilwhite",18,"m",0,"three_sixes",2.44948974278318,"low",2236.932,"high",4978000,"low",2854.296,"high",37870
"male","brazilwhite",19,"f",0,"three_sixes",2,"low",3106.85,"high",4e+06,"low",NA,"high",20000
"male","brazilwhite",20,"f",0,"two_sixes",2,"low",2485.48,"low",NA,"high",3936.96,"high",6000
"male","brazilwhite",21,"f",0,"three_sixes",2.23606797749979,"low",NA,"low",NA,"low",NA,"low",125
"male","brazilwhite",20,"f",0,"two_sixes",1.73205080756888,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",18,"f",0,"three_sixes",2.23606797749979,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",19,"m",0,"three_sixes",1.73205080756888,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",20,"m",0,"two_sixes",2,"low",4970.96,"low",1200000,"high",22965.6,"low",NA
"male","brazilwhite",18,"f",0,"three_sixes",5.47722557505166,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",19,"m",0,"two_sixes",6,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",17,"f",0,"three_sixes",2.44948974278318,"high",4970.96,"low",NA,"low",2624.64,"high",30000
"male","brazilwhite",17,"m",0,"three_sixes",6.78232998312527,"low",1553.425,"low",8e+05,"low",4593.12,"low",973
"male","brazilwhite",23,"m",0,"two_sixes",4.89897948556636,"high",3106.85,"high",4e+06,"high",45275.04,"low",200
"male","brazilwhite",20,"f",0,"two_sixes",1.73205080756888,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",20,"f",0,"three_sixes",1.4142135623731,"low",NA,"high",4750000,"low",NA,"high",37452
"male","brazilwhite",17,"m",0,"two_sixes",1.4142135623731,"high",4349.59,"low",2e+06,"high",26246.4,"low",NA
"male","brazilwhite",18,"f",0,"three_sixes",5.47722557505166,"high",5436.9875,"low",NA,"high",39369.6,"high",1000
"male","brazilwhite",32,"m",0,"three_sixes",2,"low",3106.85,"high",2e+06,"high",29199.12,"low",3000
"male","brazilblack",19,"f",0,"three_sixes",1.73205080756888,"low",3106.85,"low",NA,"low",NA,"low",NA
"male","brazilwhite",19,"f",0,"two_sixes",3.16227766016838,"low",1988.384,"low",382000,"low",NA,"low",497
"male","brazilwhite",21,"m",0,"three_sixes",1.4142135623731,"low",NA,"low",1945000,"low",39369.6,"high",1200
"male","brazilwhite",18,"f",0,"two_sixes",1.4142135623731,"high",2485.48,"high",4e+06,"high",29199.12,"low",123
"male","brazilwhite",19,"f",0,"two_sixes",4.47213595499958,"low",1864.11,"low",250000,"low",3280.8,"low",1000
"male","brazilwhite",20,"m",0,"two_sixes",1,"low",3106.85,"low",NA,"high",39369.6,"high",30000
"male","brazilwhite",20,"m",0,"three_sixes",2.64575131106459,"low",NA,"low",NA,"low",5577.36,"low",NA
"male","brazilwhite",17,"m",0,"two_sixes",14.560219778561,"low",1677.699,"low",235000,"low",2296.56,"low",120
"male","brazilwhite",18,"m",0,"two_sixes",2.82842712474619,"high",3728.22,"high",1e+06,"high",39369.6,"low",180
"male","brazilwhite",18,"f",0,"three_sixes",NA,"low",NA,"low",NA,"low",3280.8,"low",NA
"male","brazilwhite",18,"m",0,"two_sixes",1.73205080756888,"high",5592.33,"low",200050,"low",NA,"low",103
"male","brazilwhite",17,"f",0,"two_sixes",1.4142135623731,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",21,"m",0,"three_sixes",2,"high",3106.85,"high",3500000,"low",NA,"low",8000
"male","brazilwhite",17,"f",0,"two_sixes",2.44948974278318,"low",3106.85,"low",2e+06,"low",NA,"low",NA
"male","brazilwhite",36,"f",0,"two_sixes",2.23606797749979,"low",NA,"low",NA,"low",NA,"low",200
"male","brazilwhite",19,"m",0,"two_sixes",1.4142135623731,"high",1864.11,"high",5e+05,"low",2624.64,"high",30000
"male","brazilwhite",18,"m",0,"three_sixes",1,"low",1553.425,"low",5e+05,"low",3936.96,"high",30000
"male","brazilwhite",23,"f",0,"three_sixes",0,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",17,"f",0,"three_sixes",2,"high",2796.165,"high",4900000,"high",41010,"high",40000
"male","brazilwhite",18,"f",0,"two_sixes",2.82842712474619,"low",NA,"low",NA,"low",3936.96,"low",NA
"male","brazilwhite",19,"f",0,"three_sixes",7.07106781186548,"low",1522.3565,"low",NA,"low",2624.64,"low",110
"male","brazilwhite",31,"m",0,"three_sixes",2.64575131106459,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",19,"m",0,"two_sixes",1.73205080756888,"low",NA,"low",NA,"low",3936.96,"low",NA
"male","brazilwhite",19,"f",0,"two_sixes",1.73205080756888,"low",NA,"low",NA,"low",3280.8,"low",NA
"male","brazilwhite",24,"m",0,"two_sixes",2,"high",3106.85,"high",2500000,"high",29527.2,"low",2500
"male","brazilwhite",19,"f",0,"three_sixes",0,"low",NA,"low",9e+05,"low",6561.6,"low",500
"male","brazilwhite",21,"m",0,"three_sixes",0,"low",1864.11,"low",1e+06,"low",16404,"high",10000
"male","brazilwhite",19,"f",0,"two_sixes",1.73205080756888,"high",3106.85,"high",2700000,"high",39369.6,"low",120
"male","brazilwhite",22,"f",0,"three_sixes",1.73205080756888,"low",1615.562,"low",200020,"high",45471.888,"low",150
"male","brazilwhite",19,"f",0,"three_sixes",2.23606797749979,"low",1864.11,"high",3500000,"low",NA,"low",115
"male","brazilwhite",20,"f",0,"two_sixes",1.73205080756888,"low",1553.425,"high",2e+06,"low",3936.96,"high",1000
"male","brazilwhite",22,"m",0,"two_sixes",6.48074069840786,"low",NA,"low",NA,"high",29199.12,"low",NA
"male","brazilwhite",19,"f",0,"three_sixes",1,"low",NA,"low",NA,"low",NA,"low",150
"male","brazilwhite",22,"f",0,"two_sixes",1.73205080756888,"low",NA,"low",NA,"high",29527.2,"high",130
"male","brazilwhite",18,"m",0,"three_sixes",2,"low",NA,"low",NA,"low",NA,"high",43000
"male","brazilwhite",23,"m",0,"two_sixes",2.44948974278318,"low",NA,"low",NA,"low",NA,"high",45000
"female","brazilwhite",18,"m",0,"two_sixes",3.87298334620742,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",23,"f",0,"three_sixes",NA,"low",NA,"low",NA,"low",NA,"low",NA
"female","brazilwhite",21,"m",0,"three_sixes",6.85565460040104,"high",5592.33,"low",9e+05,"high",44290.8,"low",550
"male","brazilwhite",18,"f",0,"two_sixes",2.23606797749979,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",20,"f",0,"two_sixes",4.47213595499958,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",18,"f",0,"two_sixes",2.44948974278318,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",18,"f",0,"two_sixes",3.16227766016838,"low",3106.85,"low",1e+06,"high",26246.4,"high",40000
"male","brazilwhite",19,"m",0,"three_sixes",0,"low",3106.85,"high",3500000,"low",13123.2,"high",1200
"male","brazilwhite",21,"m",0,"two_sixes",1.4142135623731,"high",4660.275,"high",3745000,"high",26246.4,"high",30000
"female","brazilwhite",20,"m",0,"two_sixes",14.142135623731,"low",NA,"low",NA,"low",NA,"low",NA
"female","brazilwhite",26,"f",0,"two_sixes",2,"low",3479.672,"low",1500000,"low",5905.44,"low",NA
"male","brazilbrown",20,"f",0,"two_sixes",2.44948974278318,"low",2982.576,"low",1e+06,"high",39369.6,"high",35000
"male","brazilbrown",19,"f",0,"two_sixes",1.73205080756888,"high",3728.22,"high",2500000,"low",8202,"high",500
"male","brazilwhite",19,"f",0,"two_sixes",2.23606797749979,"low",NA,"low",NA,"low",NA,"low",500
"male","brazilwhite",22,"m",0,"two_sixes",2.23606797749979,"high",1864.11,"low",5e+05,"high",45357.06,"high",20000
"female","brazilwhite",19,"f",0,"two_sixes",1.73205080756888,"high",3106.85,"low",NA,"low",3280.8,"low",150
"female","brazilwhite",23,"f",0,"two_sixes",1.4142135623731,"high",4349.59,"high",2e+06,"high",42650.4,"high",4500
"male","brazilwhite",20,"f",0,"two_sixes",1.4142135623731,"high",4970.96,"low",NA,"low",26246.4,"low",NA
"female","brazilwhite",18,"m",0,"two_sixes",2.23606797749979,"high",4038.905,"low",NA,"low",2673.852,"high",40000
"male","brazilwhite",19,"m",0,"three_sixes",3.87298334620742,"low",3106.85,"low",NA,"high",32808,"low",5000
"male","brazilbrown",19,"m",0,"two_sixes",2.82842712474619,"low",NA,"low",NA,"low",NA,"low",120
"male","brazilwhite",19,"m",0,"two_sixes",6,"high",4349.59,"high",4e+06,"high",29527.2,"high",35000
"male","brazilwhite",27,"m",0,"two_sixes",1,"low",1988.384,"low",3e+06,"low",11482.8,"low",2000
"male","brazilwhite",19,"m",0,"three_sixes",2.23606797749979,"low",1513.03595,"low",201000,"low",2066.904,"high",47000
"male","brazilwhite",19,"m",0,"three_sixes",1.4142135623731,"low",1864.11,"low",3e+06,"high",26246.4,"high",5000
"female","brazilwhite",20,"f",0,"three_sixes",2.44948974278318,"low",NA,"low",NA,"low",2952.72,"low",NA
"female","brazilwhite",19,"m",0,"three_sixes",NA,"low",3728.22,"low",2e+06,"high",29172.8736,"low",NA
"male","brazilbrown",24,"f",0,"two_sixes",1.73205080756888,"low",NA,"low",NA,"low",3280.8,"low",400
"male","brazilbrown",21,"f",0,"two_sixes",1.4142135623731,"low",2174.795,"low",NA,"high",32808,"high",25000
"female","brazilwhite",19,"f",0,"two_sixes",4.89897948556636,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",19,"f",0,"two_sixes",2.82842712474619,"low",4970.96,"low",NA,"low",NA,"low",300
"male","brazilwhite",19,"m",0,"two_sixes",1.4142135623731,"high",3106.85,"low",5e+05,"low",4265.04,"low",1500
"male","brazilbrown",21,"m",0,"three_sixes",2.44948974278318,"low",1926.247,"low",NA,"low",3280.8,"low",1000
"male","brazilwhite",22,"m",0,"three_sixes",7.87400787401181,"high",1864.11,"high",4500000,"high",42322.32,"high",45000
"female","brazilwhite",20,"f",0,"three_sixes",1.73205080756888,"high",5592.33,"low",NA,"low",NA,"low",NA
"female","brazilwhite",20,"f",0,"two_sixes",2,"low",NA,"high",4e+06,"low",3280.8,"low",125
"female","brazilwhite",23,"m",0,"three_sixes",NA,"low",1770.9045,"high",3e+06,"low",16404,"high",1200
"female","brazilwhite",19,"f",0,"two_sixes",2.23606797749979,"high",3106.85,"low",NA,"low",19684.8,"high",40000
"male","brazilwhite",23,"f",0,"three_sixes",NA,"low",1864.11,"low",200400,"low",2624.64,"low",NA
"male","brazilwhite",17,"f",0,"three_sixes",1.73205080756888,"low",2485.48,"low",5e+05,"low",NA,"low",1000
"male","brazilwhite",23,"m",0,"three_sixes",1,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",21,"f",0,"three_sixes",NA,"low",2236.932,"low",NA,"low",5905.44,"high",15000
"male","brazilbrown",22,"f",0,"two_sixes",1.4142135623731,"high",4349.59,"low",630000,"high",16404,"high",3000
"male","brazilbrown",19,"f",0,"three_sixes",2.23606797749979,"high",5592.33,"low",1e+06,"low",13123.2,"high",30000
"male","brazilwhite",18,"f",0,"three_sixes",0,"low",3479.672,"low",NA,"high",39041.52,"low",NA
"female","brazilwhite",17,"f",0,"two_sixes",1.4142135623731,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilbrown",19,"f",0,"two_sixes",2.23606797749979,"low",NA,"low",NA,"low",NA,"low",NA
"female","brazilwhite",23,"m",0,"three_sixes",0,"low",NA,"low",NA,"low",NA,"low",500
"female","brazilwhite",20,"m",0,"three_sixes",1.73205080756888,"low",NA,"low",2e+06,"low",26246.4,"low",30000
"female","brazilwhite",19,"f",0,"two_sixes",1,"low",NA,"high",4600000,"low",2296.56,"low",NA
"male","brazilbrown",23,"m",0,"three_sixes",1,"low",NA,"low",NA,"low",2624.64,"low",NA
"female","brazilwhite",20,"f",0,"two_sixes",5.47722557505166,"high",4349.59,"high",4e+06,"high",39369.6,"high",30000
"male","brazilbrown",17,"m",0,"two_sixes",1,"low",1864.11,"low",NA,"low",29448.4608,"low",40000
"female","brazilwhite",18,"m",0,"two_sixes",3.16227766016838,"high",3106.85,"low",NA,"low",28871.04,"low",103
"female","brazilwhite",28,"f",0,"three_sixes",1.73205080756888,"low",NA,"high",4999999,"low",NA,"high",49000
"male","brazilbrown",18,"f",0,"three_sixes",2.23606797749979,"low",2796.165,"low",250000,"low",8021.556,"low",109
"male","brazilwhite",17,"m",0,"three_sixes",2.82842712474619,"low",NA,"low",NA,"low",NA,"low",NA
"male","brazilwhite",16,"f",0,"two_sixes",22.3606797749979,"low",1864.11,"low",NA,"low",NA,"high",49000
"male","6",22,"m",0,"three_sixes",NA,"low",NA,"high",4e+06,"low",28871.04,"high",20000
"male","6",21,"f",0,"three_sixes",1,"low",2114.52211,"low",1200000,"high",26574.48,"low",NA
"male","6",23,"f",0,"two_sixes",1.4142135623731,"high",4970.96,"low",2e+06,"high",27230.64,"low",1000
"male","6",20,"f",0,"two_sixes",5.91607978309962,"low",3106.85,"low",NA,"high",29028.5184,"high",7000
"male","6",19,"f",0,"three_sixes",0,"low",2485.48,"high",2e+06,"low",27886.8,"low",600
"male","6",20,"f",0,"three_sixes",NA,"high",3106.85,"low",5e+05,"high",28542.96,"high",45000
"male","6",21,"f",0,"two_sixes",3,"low",2485.48,"high",4500000,"high",43962.72,"high",35000
"male","6",22,"f",0,"three_sixes",NA,"low",NA,"low",NA,"low",27886.8,"high",20000
"male","6",20,"f",0,"three_sixes",1.4142135623731,"low",NA,"high",3000500,"high",26246.4,"high",45000
"male","6",20,"f",0,"three_sixes",0,"low",3106.85,"high",3e+06,"high",26902.56,"high",7000
"male","6",22,"m",0,"two_sixes",3.16227766016838,"low",2485.48,"low",2e+06,"low",27886.8,"low",1000
"male","6",24,"f",0,"two_sixes",2.82842712474619,"high",3106.85,"low",2e+06,"low",27312.66,"high",30000
"male","6",19,"f",0,"three_sixes",NA,"low",NA,"low",NA,"high",28510.152,"low",250
"male","6",22,"f",0,"three_sixes",1.73205080756888,"low",3106.85,"high",4500000,"low",19684.8,"low",250
"male","6",21,"f",0,"three_sixes",1.4142135623731,"high",3106.85,"high",4e+06,"low",26246.4,"high",20000
"male","6",22,"m",0,"three_sixes",NA,"high",5281.645,"low",1500000,"low",28871.04,"low",150
"male","6",22,"f",0,"three_sixes",2.23606797749979,"low",2485.48,"low",2500000,"low",29094.1344,"low",10000
"male","6",20,"m",0,"three_sixes",12.4899959967968,"low",2264.89365,"high",3897483,"high",36452.9688,"high",26432
"male","6",22,"f",0,"two_sixes",3.16227766016838,"high",4970.96,"low",7e+05,"high",42322.32,"high",20000
"male","6",26,"f",0,"three_sixes",11.4891252930761,"low",3106.85,"high",3e+06,"low",29028.5184,"high",8000
"male","6",20,"f",0,"two_sixes",3.16227766016838,"high",3106.85,"high",1e+06,"low",26246.4,"low",NA
"male","6",20,"f",0,"three_sixes",1.4142135623731,"low",NA,"low",1e+06,"low",27230.64,"low",428
"male","6",23,"m",0,"three_sixes",2.23606797749979,"high",2485.48,"low",NA,"low",29028.5184,"high",20000
"male","6",20,"f",0,"two_sixes",3.16227766016838,"low",1964.77194,"high",4957100,"high",29028.5184,"low",850
"male","6",19,"m",0,"two_sixes",12.4899959967968,"high",2174.795,"high",3800000,"low",29031.7992,"low",2000
"male","6",25,"f",0,"three_sixes",0,"low",NA,"low",NA,"high",27680.1096,"low",NA
"male","6",28,"m",0,"three_sixes",5.74456264653803,"low",1553.425,"low",NA,"high",28871.04,"high",45000
"male","6",21,"m",0,"three_sixes",2.23606797749979,"low",1864.11,"low",4e+06,"high",28378.92,"high",35000
"male","6",20,"f",0,"three_sixes",0,"low",NA,"high",2500000,"low",21325.2,"low",NA
"male","6",20,"f",0,"three_sixes",2.44948974278318,"low",NA,"high",4000678,"low",2362.176,"low",NA
"male","6",22,"f",0,"two_sixes",5.19615242270663,"low",NA,"low",3e+06,"high",26246.4,"low",NA
"male","6",22,"f",0,"two_sixes",22.3606797749979,"high",4970.96,"low",NA,"high",29527.2,"low",2000
"male","6",24,"f",0,"two_sixes",5.47722557505166,"high",1864.11,"high",3e+06,"high",29028.5184,"low",1000
"male","6",19,"f",0,"two_sixes",3.87298334620742,"low",1864.11,"low",NA,"low",28871.04,"low",5000
"male","6",20,"f",0,"three_sixes",2,"low",1592.57131,"low",3e+05,"low",3936.96,"high",45000
"male","6",32,"m",0,"three_sixes",5,"high",2174.795,"high",3e+06,"low",29028.5184,"high",48000
"male","6",22,"m",0,"three_sixes",3.46410161513775,"low",NA,"high",4500000,"low",29028.5184,"low",15000
"male","6",20,"f",0,"three_sixes",2.44948974278318,"low",1864.11,"low",5e+05,"low",13123.2,"low",500
"male","6",22,"f",0,"three_sixes",1,"low",1864.11,"low",3e+06,"high",29527.2,"low",150
"male","6",22,"f",0,"two_sixes",14.6628782986152,"high",5439.47298,"high",3872143,"low",29035.08,"high",17368
"male","6",20,"f",0,"three_sixes",1.73205080756888,"high",3106.85,"low",NA,"high",29028.5184,"high",45000
"male","6",23,"f",0,"two_sixes",1.73205080756888,"high",4970.96,"high",3800000,"low",8202,"low",500
"male","6",27,"m",0,"two_sixes",12.2474487139159,"high",4970.96,"low",NA,"low",16404,"low",500
"male","6",25,"f",0,"two_sixes",3.46410161513775,"high",2485.48,"high",3500000,"high",28214.88,"high",17200
"male","6",19,"f",0,"three_sixes",NA,"low",4349.59,"high",4e+06,"low",26574.48,"high",48000
"male","6",21,"f",0,"two_sixes",NA,"low",4349.59,"low",1500000,"high",29028.5184,"high",20000
"male","6",20,"m",0,"three_sixes",3.3166247903554,"low",3106.85,"low",3e+06,"low",28398.6048,"high",20000
"male","6",18,"f",0,"three_sixes",2.44948974278318,"low",2796.165,"high",3680000,"high",27634.1784,"low",NA
"male","6",25,"f",0,"two_sixes",3.87298334620742,"low",NA,"low",NA,"low",26246.4,"low",NA
"male","6",31,"f",0,"three_sixes",1,"high",4970.96,"high",4e+06,"low",27886.8,"high",45000
"male","6",28,"m",0,"three_sixes",1.4142135623731,"low",2174.795,"low",NA,"low",22965.6,"high",8000
