"expgender","exprace","numparticipants","age","sex","lab_or_online","us_or_international","gambfalgroup","gambfalDV","anch1group","anchoring1","anch2group","anchoring2","anch3group","anchoring3","anch4group","anchoring4","gainlossgroup","gainlossDV","sunkcosta","sunkcostb","reciprocityothera","reciprocityothera.1","reciprocityusa","reciprocityusb","sunkgroup","sunkDV","gainlossgroup.1","gainlossDV.1","quoteGroup","quote","ContactGroup","Imagineddv","IATexpmath","IATexpart","IATexp.overall","d_art"
"male","6","7",18,"m",0,0,1,1.4142135623731,0,2300,1,3e+05,0,2595,1,35000,0,1,9,NA,NA,NA,NA,2,0,9,0,1,0,9,1,6.25,4.83333333333333,6.5,4.83333333333333,0.133369739331158
"male","6","7",19,"m",0,0,1,1,1,3000,0,NA,1,32000,0,2000,1,1,9,NA,1,1,1,NA,0,9,1,1,1,4,0,7.25,2.5,5.16666666666667,5.33333333333333,0.24077068819561
"male","6","7",20,"f",0,0,0,2.23606797749979,1,2000,0,3e+05,0,3500,1,10000,0,1,NA,9,2,2,2,NA,1,9,0,1,0,5,1,2.25,3.33333333333333,6.33333333333333,5.5,0.228017154927787
"male","6","7",18,"m",0,0,0,1.4142135623731,0,3000,0,350000,0,4500,0,354,1,1,7,NA,2,2,2,NA,0,7,1,1,1,7,1,6,2.66666666666667,6,5.66666666666667,0.0457366069532796
"male","6","5",23,"f",0,0,1,3.87298334620742,1,4000,0,5e+05,0,NA,1,10000,1,1,4,NA,2,2,2,NA,0,4,1,1,0,5,0,3.75,4.66666666666667,6.83333333333333,5.08333333333333,1.30776618574651
"male","6","5",22,"m",0,0,0,2.23606797749979,1,5000,0,7e+05,1,13000,1,20000,1,1,9,NA,1,1,1,NA,0,9,1,1,0,5,1,3,3.16666666666667,5,4.91666666666667,-0.424314427237337
"male","6","5",26,"m",0,0,0,3.74165738677394,0,2600,1,3e+06,1,31000,1,38000,1,2,9,NA,1,1,1,NA,0,9,1,2,1,7,0,5.5,2.5,6.5,6,-0.267655338470737
"male","6","5",18,"f",0,0,1,1.4142135623731,0,2400,0,275000,1,40000,0,400,0,2,NA,9,2,2,2,NA,1,9,0,2,0,6,0,2.75,2.16666666666667,6.16666666666667,6,1.16035468845431
"male","6","5",20,"f",0,0,1,7.07106781186548,1,4000,1,3e+06,1,30000,1,20000,0,2,NA,9,NA,NA,NA,1,1,9,0,2,0,6,1,1.25,2.16666666666667,5.5,5.66666666666667,0.860929354504213
"female","6","5",19,"f",0,0,1,4.47213595499958,1,5489,0,256895,0,2156,1,250,1,1,9,NA,1,1,1,NA,0,9,1,1,1,9,1,5,2.83333333333333,4.33333333333333,4.75,0.363639825283344
"male","6","5",18,"f",0,0,0,2.82842712474619,1,4050,0,4e+05,0,4000,0,1100,0,1,NA,7,NA,NA,NA,1,1,7,0,1,1,7,0,2.75,4.33333333333333,5.5,4.58333333333333,0.999753978433018
"male","6","5",18,"f",0,0,0,1.4142135623731,0,1800,0,200012,0,2100,0,110,0,1,9,NA,NA,NA,NA,2,0,9,0,1,0,5,0,4.5,6,4.33333333333333,3.16666666666667,-0.353863310797556
"male","6","5",18,"f",0,0,0,2,1,4500,1,3e+06,0,3400,1,20000,1,1,NA,8,NA,NA,NA,2,1,8,1,1,1,3,0,6.5,6,6.66666666666667,4.33333333333333,0.894799539434488
"male","6","5",19,"m",0,0,1,1.4142135623731,0,2500,0,NA,1,30000,0,NA,0,2,5,NA,1,1,1,NA,0,5,0,2,1,5,1,3.25,4,4,4,-0.213057518131719
"male","6","4",20,"f",0,0,0,2,1,5260,0,236745,0,2336,1,43109,0,1,9,NA,2,2,2,NA,0,9,0,1,1,3,1,8,7,6.33333333333333,3.66666666666667,0.511584703606529
"male","6","4",18,"f",0,0,1,10,0,1550,1,3e+06,1,39000,1,49500,1,2,9,NA,NA,NA,NA,1,0,9,1,2,1,5,0,2,5.5,5.5,4,0.684502186288927
"male","6","4",18,"m",0,0,0,2.23606797749979,1,5000,1,3500000,0,NA,1,1000,0,1,NA,7,NA,NA,NA,2,1,7,0,1,0,5,0,3,4.66666666666667,4.33333333333333,3.83333333333333,-0.855090559735227
"male","6","4",18,"f",0,0,1,2.44948974278318,1,3500,0,4e+05,1,30500,0,500,1,1,NA,1,1,1,1,NA,1,1,1,1,1,9,1,3.5,4.5,6.16666666666667,4.83333333333333,0.259833624601192
"male","6","4",18,"f",0,0,0,NA,0,5000,0,250000,0,40000,0,400,0,1,NA,9,NA,NA,NA,1,1,9,0,1,0,5,0,2,3.5,5,4.75,-0.482370978730369
"male","6","4",25,"f",0,0,0,1.73205080756888,1,3600,0,NA,0,NA,1,24000,1,1,9,NA,1,1,1,NA,0,9,1,1,0,4,1,5.25,4.33333333333333,6.33333333333333,5,0.848511948630084
"male","6","4",21,"f",0,0,0,1.4142135623731,1,4500,1,4e+06,0,5000,1,25000,0,1,9,NA,1,1,1,NA,0,9,0,1,0,4,1,5.75,3,6.33333333333333,5.66666666666667,0.421499382400415
"male","6","4",18,"f",0,0,0,2.64575131106459,1,5890,0,1e+06,1,42500,1,16000,0,1,NA,9,NA,NA,NA,1,1,9,0,1,1,3,0,6.25,4,3.33333333333333,3.66666666666667,0.0587446672410411
"male","6","4",20,"m",0,0,0,0,0,3200,1,4500000,1,38000,0,20000,1,2,9,NA,NA,NA,NA,1,0,9,1,2,0,1,1,4.75,6.16666666666667,4.33333333333333,3.08333333333333,0.466143489871549
"male","6","4",18,"f",0,0,0,2.44948974278318,0,NA,0,3e+05,0,35000,0,NA,1,1,NA,1,NA,NA,NA,2,1,1,1,1,0,9,1,4,3.83333333333333,7,5.58333333333333,-0.0136643717138354
"male","6","10",19,"f",0,0,0,2.23606797749979,0,NA,0,250000,1,45000,1,10000,1,1,NA,1,2,2,2,NA,1,1,1,1,0,4,1,6.5,7,5.5,3.25,1.02859554169666
"male","6","10",19,"f",0,0,0,1.4142135623731,1,5500,0,NA,0,3000,1,1000,1,1,NA,9,1,1,2,NA,1,9,1,1,0,5,0,5,2.16666666666667,4,4.91666666666667,0.297255549190093
"male","6","9",20,"f",0,0,1,1.4142135623731,0,NA,1,4500000,1,25000,0,250,1,2,NA,9,1,1,1,NA,1,9,1,2,0,5,1,6.25,5.16666666666667,6,4.41666666666667,0.751630417996383
"male","6","9",20,"m",0,0,0,2.23606797749979,0,1800,1,4000001,0,NA,0,5500,0,2,NA,9,NA,NA,NA,1,1,9,0,2,0,5,0,9,7,6.16666666666667,3.58333333333333,0.709918992093532
"male","6","3",24,"f",0,0,1,2.64575131106459,1,5000,0,1e+06,1,40000,1,35000,1,1,NA,6,1,1,1,NA,1,6,1,1,1,3,0,7.5,4.5,6,4.75,0.730576355540294
"male","6","10",18,"f",0,0,1,NA,1,4000,0,250000,0,3000,0,NA,0,1,NA,9,1,1,1,NA,1,9,0,1,0,9,0,6,3.5,6.33333333333333,5.41666666666667,0.47586075127333
"male","6","10",18,"f",0,0,1,3.16227766016838,0,3000,1,1500000,0,NA,1,30000,1,1,NA,1,2,2,2,NA,1,1,1,1,0,1,0,5.5,3.83333333333333,5.33333333333333,4.75,0.582414083125409
"male","6","10",18,"f",0,0,1,1.73205080756888,0,2000,1,3e+06,0,30000,1,35000,1,1,9,NA,NA,NA,NA,1,0,9,1,1,0,5,0,9,3.83333333333333,6.66666666666667,5.41666666666667,0.345107171737151
"male","6","10",18,"f",0,0,0,2.23606797749979,1,3000,0,350000,0,5000,1,20000,1,2,9,NA,NA,NA,NA,1,0,9,1,2,1,1,1,8.25,3.5,7,5.75,1.09726503793493
"male","6","9",18,"f",0,0,1,1.73205080756888,1,4000,0,6e+05,0,5000,0,150,0,2,9,NA,1,1,1,NA,0,9,0,2,0,5,0,3,4.8,4,3.63636363636364,0.236015080557429
"male","6","9",18,"m",0,0,0,1.73205080756888,0,3600,0,7e+05,0,7000,1,1000,0,1,NA,9,2,2,2,NA,1,9,0,1,1,7,0,7,3,7,6,0.596603674740332
"male","6","9",22,"f",0,0,1,1.73205080756888,1,3000,1,2e+06,1,45000,1,20000,1,1,9,NA,NA,NA,NA,1,0,9,1,1,0,6,1,2.75,2.83333333333333,6.33333333333333,5.75,0.504522039574268
"male","6","9",19,"f",0,0,1,1.4142135623731,0,NA,1,4250000,1,40000,1,29000,0,1,NA,9,NA,NA,NA,1,1,9,0,1,1,3,1,5,3.66666666666667,7,5.66666666666667,0.134321424378581
"male","6","9",22,"f",0,0,1,1.73205080756888,1,4500,1,2e+06,1,37000,1,30000,0,2,7,NA,1,1,1,NA,0,7,0,2,1,5,0,4.75,5.16666666666667,6.16666666666667,4.5,0.938583721641988
"male","6","9",20,"m",0,0,0,1.73205080756888,1,5000,0,250000,1,8000,0,150,1,1,NA,9,1,1,1,NA,1,9,1,1,0,5,1,9,3.16666666666667,5,4.91666666666667,0.477688944880487
"male","6","9",23,"f",0,0,1,2.23606797749979,0,1660,1,4500000,0,2300,0,150,0,2,NA,5,NA,NA,NA,2,1,5,0,2,1,8,1,7.25,6.16666666666667,6,3.91666666666667,0.00753817525577834
"male","6","9",19,"f",0,0,1,3,1,5600,1,4885679,0,3500,1,48900,0,2,7,NA,NA,NA,NA,2,0,7,0,2,0,6,1,6.25,2.66666666666667,6,5.66666666666667,0.634268277515687
"male","6","9",26,"m",0,0,0,1,0,2946,0,365680,1,45300,1,28846,0,2,NA,9,NA,NA,NA,1,1,9,0,2,0,5,1,8.75,4,6,5,0.486987279963421
"male","6","2",18,"f",0,0,1,2.44948974278318,0,1750,1,4500000,0,20000,1,45000,1,1,NA,6,1,1,1,NA,1,6,1,1,0,5,1,8.5,2.66666666666667,6.5,5.91666666666667,-0.223152861743887
"male","6","2",19,"f",0,0,0,2.44948974278318,0,NA,0,200001,0,2500,0,101,0,2,NA,9,1,1,1,NA,1,9,0,2,1,7,1,8,5.5,5.33333333333333,3.91666666666667,0.658346953772576
"male","brazilwhite","20",20,"m",0,1,0,1,0,NA,0,NA,0,NA,0,NA,1,1,9,NA,NA,NA,NA,1,0,9,1,1,1,5,1,8.25,4.66666666666667,5,4.16666666666667,0.148091303640694
"male","brazilwhite","20",19,"m",0,1,0,1,0,3106.85,0,NA,0,NA,0,200,0,2,9,NA,NA,NA,NA,1,0,9,0,2,0,6,1,5,4.66666666666667,5.8,4.45454545454545,0.628534908223034
"male","brazilwhite","20",22,"f",0,1,1,4.47213595499958,1,1864.11,0,NA,1,39369.6,0,250,0,2,8,NA,1,1,1,NA,0,8,0,2,0,2,0,4.75,5.5,6.33333333333333,4.41666666666667,0.497773627187534
"male","brazilwhite","20",21,"f",0,1,0,1.73205080756888,0,1864.11,0,3e+05,0,9842.4,0,150,0,2,NA,9,1,1,1,NA,1,9,0,2,0,5,0,5,3.33333333333333,6.16666666666667,5.41666666666667,0.399944725186624
"male","brazilwhite","20",19,"f",0,1,1,4.47213595499958,0,NA,0,NA,0,NA,0,150,1,1,9,NA,NA,NA,NA,2,0,9,1,1,1,5,1,2.75,2.66666666666667,5.66666666666667,5.5,0.831463203279499
"male","brazilwhite","20",24,"m",0,1,0,0,0,3106.85,1,4e+06,1,41010,1,1000,1,1,8,NA,1,1,1,NA,0,8,1,1,0,8,1,7.25,3.83333333333333,6.16666666666667,5.16666666666667,1.14515285044576
"male","brazilwhite","20",19,"f",0,1,0,1.73205080756888,0,1864.11,1,4502000,0,3936.96,0,NA,0,2,1,NA,1,1,1,NA,0,1,0,2,1,9,0,3.75,2.66666666666667,5.83333333333333,5.58333333333333,0.905705378958374
"male","brazilwhite","20",24,"m",0,1,0,0,0,3355.398,1,3600000,0,26246.4,0,NA,0,1,9,NA,NA,NA,NA,1,0,9,0,1,1,7,0,5.75,5.33333333333333,5.33333333333333,4,-0.206176266953363
"male","brazilwhite","20",18,"m",0,1,0,2.44948974278318,0,2236.932,1,4978000,0,2854.296,1,37870,0,2,7,NA,1,1,1,NA,0,7,0,2,0,7,1,7,6.5,6.33333333333333,3.91666666666667,0.200640401472218
"male","brazilwhite","20",19,"f",0,1,0,2,0,3106.85,1,4e+06,0,NA,1,20000,1,1,9,NA,1,1,2,NA,0,9,1,1,0,9,1,6.75,3,5.83333333333333,5.41666666666667,0.482608970164637
"male","brazilwhite","20",20,"f",0,1,1,2,0,2485.48,0,NA,1,3936.96,1,6000,0,1,6,NA,2,2,2,NA,0,6,0,1,1,5,0,2.5,2.5,5.33333333333333,5.41666666666667,0.604848245571286
"male","brazilwhite","20",21,"f",0,1,0,2.23606797749979,0,NA,0,NA,0,NA,0,125,1,1,8,NA,NA,NA,NA,1,0,8,1,1,0,1,1,6,2.16666666666667,6.83333333333333,6.33333333333333,1.07617845272677
"male","brazilwhite","20",20,"f",0,1,1,1.73205080756888,0,NA,0,NA,0,NA,0,NA,0,1,NA,8,NA,NA,NA,1,1,8,0,1,1,8,1,6.5,2.33333333333333,6.66666666666667,6.16666666666667,0.565046056716216
"male","brazilwhite","20",18,"f",0,1,0,2.23606797749979,0,NA,0,NA,0,NA,0,NA,1,1,NA,1,1,1,2,NA,1,1,1,1,1,7,1,9,2.83333333333333,6.66666666666667,5.91666666666667,1.02394741535985
"male","brazilwhite","20",19,"m",0,1,0,1.73205080756888,0,NA,0,NA,0,NA,0,NA,0,1,7,NA,NA,NA,NA,1,0,7,0,1,0,NA,1,5.5,2.66666666666667,6.33333333333333,5.83333333333333,0.435638540764854
"male","brazilwhite","20",20,"m",0,1,1,2,0,4970.96,0,1200000,1,22965.6,0,NA,0,2,NA,9,NA,NA,NA,1,1,9,0,2,1,5,1,3.25,5.5,5.33333333333333,3.91666666666667,-0.582047737351301
"male","brazilwhite","20",18,"f",0,1,0,5.47722557505166,0,NA,0,NA,0,NA,0,NA,0,1,NA,9,1,1,1,NA,1,9,0,1,1,8,1,3.75,3.33333333333333,7,5.83333333333333,0.577951132431189
"male","brazilwhite","20",19,"m",0,1,1,6,0,NA,0,NA,0,NA,0,NA,1,2,NA,9,1,1,2,NA,1,9,1,2,1,7,1,7.75,4.83333333333333,6.5,4.83333333333333,0.425430835491504
"male","brazilwhite","20",17,"f",0,1,0,2.44948974278318,1,4970.96,0,NA,0,2624.64,1,30000,0,1,9,NA,NA,NA,NA,1,0,9,0,1,0,5,0,3,2.83333333333333,7,6.08333333333333,0.68121844634187
"male","brazilwhite","20",17,"m",0,1,0,6.78232998312527,0,1553.425,0,8e+05,0,4593.12,0,973,0,2,NA,5,NA,NA,NA,1,1,5,0,2,1,8,0,6,6.83333333333333,7,4.08333333333333,NA
"male","brazilwhite","20",23,"m",0,1,1,4.89897948556636,1,3106.85,1,4e+06,1,45275.04,0,200,1,NA,NA,9,NA,NA,NA,2,1,9,1,NA,1,9,1,4.75,5.66666666666667,7,4.66666666666667,0.207019754651732
"male","brazilwhite","20",20,"f",0,1,1,1.73205080756888,0,NA,0,NA,0,NA,0,NA,0,1,NA,9,2,2,2,NA,1,9,0,1,1,9,1,5.5,3.33333333333333,6.66666666666667,5.66666666666667,0.433796108146286
"male","brazilwhite","20",20,"f",0,1,0,1.4142135623731,0,NA,1,4750000,0,NA,1,37452,0,1,9,NA,1,1,1,NA,0,9,0,1,0,5,0,7.5,4.66666666666667,6.83333333333333,5.08333333333333,0.562351122135927
"male","brazilwhite","20",17,"m",0,1,1,1.4142135623731,1,4349.59,0,2e+06,1,26246.4,0,NA,0,2,NA,9,1,1,1,NA,1,9,0,2,1,5,1,1,4.16666666666667,5.83333333333333,4.83333333333333,0.155285174924906
"male","brazilwhite","20",18,"f",0,1,0,5.47722557505166,1,5436.9875,0,NA,1,39369.6,1,1000,0,2,NA,8,NA,NA,NA,2,1,8,0,2,1,7,0,6.75,3.66666666666667,6.16666666666667,5.25,0.595107900873003
"male","brazilwhite","20",32,"m",0,1,0,2,0,3106.85,1,2e+06,1,29199.12,0,3000,0,1,NA,9,1,1,1,NA,1,9,0,1,0,9,0,5.25,3.5,5.83333333333333,5.16666666666667,-0.323558943055664
"male","brazilblack","20",19,"f",0,1,0,1.73205080756888,0,3106.85,0,NA,0,NA,0,NA,1,2,9,NA,1,1,2,NA,0,9,1,2,1,8,0,5.75,3.66666666666667,6.83333333333333,5.58333333333333,0.966658801295373
"male","brazilwhite","20",19,"f",0,1,1,3.16227766016838,0,1988.384,0,382000,0,NA,0,497,1,1,9,NA,NA,NA,NA,1,0,9,1,1,1,7,0,5,5,7,5,1.20431890795326
"male","brazilwhite","20",21,"m",0,1,0,1.4142135623731,0,NA,0,1945000,0,39369.6,1,1200,1,2,NA,9,1,1,1,NA,1,9,1,2,1,7,1,4,3.33333333333333,6.83333333333333,5.75,0.814887238878465
"male","brazilwhite","20",18,"f",0,1,1,1.4142135623731,1,2485.48,1,4e+06,1,29199.12,0,123,0,2,9,NA,NA,NA,NA,1,0,9,0,2,0,5,1,6.25,3.83333333333333,6,5.08333333333333,-0.0498162444793613
"male","brazilwhite","20",19,"f",0,1,1,4.47213595499958,0,1864.11,0,250000,0,3280.8,0,1000,1,2,5,NA,NA,NA,NA,1,0,5,1,2,1,8,1,5.5,5,7,5,1.27945080648417
"male","brazilwhite","20",20,"m",0,1,1,1,0,3106.85,0,NA,1,39369.6,1,30000,0,2,NA,9,NA,NA,NA,1,1,9,0,2,1,5,1,1,3.16666666666667,5,4.91666666666667,0.369693815330185
"male","brazilwhite","20",20,"m",0,1,0,2.64575131106459,0,NA,0,NA,0,5577.36,0,NA,0,2,NA,9,1,1,1,NA,1,9,0,2,0,8,1,6,6,5.83333333333333,3.91666666666667,1.18504815876135
"male","brazilwhite","20",17,"m",0,1,1,14.560219778561,0,1677.699,0,235000,0,2296.56,0,120,1,1,9,NA,2,2,2,NA,0,9,1,1,1,5,0,7.25,6,5.5,3.75,0.0971387584916578
"male","brazilwhite","20",18,"m",0,1,1,2.82842712474619,1,3728.22,1,1e+06,1,39369.6,0,180,0,2,9,NA,1,1,1,NA,0,9,0,2,1,5,0,2,4,6.83333333333333,5.41666666666667,0.181213039042686
"male","brazilwhite","20",18,"f",0,1,0,NA,0,NA,0,NA,0,3280.8,0,NA,0,1,NA,8,2,2,2,NA,1,8,0,1,1,4,1,5.75,4.16666666666667,5.66666666666667,4.75,0.681005460716173
"male","brazilwhite","20",18,"m",0,1,1,1.73205080756888,1,5592.33,0,200050,0,NA,0,103,0,2,NA,4,NA,NA,NA,1,1,4,0,2,0,7,0,5,2.83333333333333,6.5,5.83333333333333,1.25161334150371
"male","brazilwhite","20",17,"f",0,1,1,1.4142135623731,0,NA,0,NA,0,NA,0,NA,1,1,8,NA,1,1,1,NA,0,8,1,1,1,5,0,1,3.83333333333333,5.16666666666667,4.66666666666667,0.655637402070699
"male","brazilwhite","20",21,"m",0,1,0,2,1,3106.85,1,3500000,0,NA,0,8000,0,1,2,NA,2,2,2,NA,0,2,0,1,0,5,0,1,2.66666666666667,6.66666666666667,6,0.950125117000459
