"year","school","exam","perc.free.meals","perc.vr.band","female","VR.band.student","ethnic","school.gender","school.denom"
1,1,22,24,18,0,2,11,"mixed",1
1,1,12,24,18,0,3,1,"mixed",1
1,1,3,24,18,1,2,1,"mixed",1
2,1,1,43,17,1,3,11,"mixed",1
2,1,27,43,17,0,1,1,"mixed",1
2,1,19,43,17,0,2,7,"mixed",1
2,1,24,43,17,0,2,1,"mixed",1
2,1,14,43,17,0,3,1,"mixed",1
2,1,5,43,17,0,3,1,"mixed",1
2,1,5,43,17,1,3,5,"mixed",1
2,1,7,43,17,1,2,1,"mixed",1
2,1,23,43,17,0,1,1,"mixed",1
2,1,26,43,17,0,1,1,"mixed",1
2,1,2,43,17,1,2,1,"mixed",1
2,1,17,43,17,1,2,5,"mixed",1
2,1,35,43,17,0,2,1,"mixed",1
2,1,1,43,17,0,3,1,"mixed",1
2,1,51,43,17,1,1,1,"mixed",1
2,1,11,43,17,0,3,1,"mixed",1
2,1,14,43,17,0,2,1,"mixed",1
2,1,28,43,17,1,2,1,"mixed",1
2,1,1,43,17,1,2,1,"mixed",1
2,1,19,43,17,1,2,1,"mixed",1
2,1,22,43,17,1,2,1,"mixed",1
2,1,2,43,17,1,3,1,"mixed",1
2,1,32,43,17,0,1,1,"mixed",1
2,1,9,43,17,0,3,1,"mixed",1
2,1,10,43,17,0,3,1,"mixed",1
2,1,14,43,17,0,2,1,"mixed",1
2,1,18,43,17,1,2,1,"mixed",1
2,1,4,43,17,0,3,1,"mixed",1
2,1,17,43,17,1,2,1,"mixed",1
2,1,22,43,17,1,3,1,"mixed",1
2,1,2,43,17,0,2,1,"mixed",1
2,1,31,43,17,1,1,1,"mixed",1
2,1,9,43,17,1,3,1,"mixed",1
2,1,14,43,17,1,3,5,"mixed",1
2,1,5,43,17,1,2,1,"mixed",1
2,1,17,43,17,1,2,1,"mixed",1
2,1,46,43,17,0,2,1,"mixed",1
2,1,17,43,17,0,2,7,"mixed",1
2,1,9,43,17,0,2,1,"mixed",1
2,1,17,43,17,0,2,1,"mixed",1
2,1,5,43,17,1,1,1,"mixed",1
2,1,25,43,17,1,2,1,"mixed",1
2,1,9,43,17,1,2,1,"mixed",1
2,1,16,43,17,0,2,1,"mixed",1
2,1,27,43,17,1,2,1,"mixed",1
2,1,30,43,17,1,2,1,"mixed",1
2,1,4,43,17,1,2,1,"mixed",1
2,1,35,43,17,1,1,11,"mixed",1
2,1,25,43,17,1,1,1,"mixed",1
2,1,14,43,17,0,3,1,"mixed",1
2,1,13,43,17,1,2,1,"mixed",1
2,1,30,43,17,1,2,1,"mixed",1
2,1,2,43,17,0,2,1,"mixed",1
2,1,26,43,17,0,2,1,"mixed",1
2,1,10,43,17,1,3,1,"mixed",1
2,1,49,43,17,0,1,7,"mixed",1
2,1,4,43,17,0,3,1,"mixed",1
2,1,25,43,17,1,1,1,"mixed",1
2,1,1,43,17,1,3,1,"mixed",1
3,1,16,43,12,0,2,1,"mixed",1
3,1,6,43,12,1,2,11,"mixed",1
3,1,28,43,12,1,2,1,"mixed",1
3,1,9,43,12,1,2,1,"mixed",1
3,1,23,43,12,1,2,1,"mixed",1
3,1,18,43,12,1,3,1,"mixed",1
3,1,5,43,12,1,3,1,"mixed",1
3,1,43,43,12,1,1,1,"mixed",1
3,1,16,43,12,1,3,1,"mixed",1
3,1,17,43,12,0,2,1,"mixed",1
3,1,10,43,12,1,3,1,"mixed",1
3,1,5,43,12,1,1,1,"mixed",1
3,1,28,43,12,1,2,1,"mixed",1
3,1,19,43,12,0,2,1,"mixed",1
3,1,22,43,12,1,2,1,"mixed",1
3,1,2,43,12,0,3,1,"mixed",1
3,1,11,43,12,1,2,1,"mixed",1
3,1,33,43,12,1,1,1,"mixed",1
3,1,9,43,12,0,1,1,"mixed",1
3,1,7,43,12,0,1,1,"mixed",1
3,1,11,43,12,0,2,1,"mixed",1
3,1,36,43,12,1,2,1,"mixed",1
3,1,10,43,12,1,2,1,"mixed",1
3,1,22,43,12,1,2,1,"mixed",1
3,1,30,43,12,1,2,1,"mixed",1
3,1,9,43,12,1,1,1,"mixed",1
3,1,11,43,12,0,3,1,"mixed",1
3,1,23,43,12,1,2,1,"mixed",1
3,1,7,43,12,0,3,1,"mixed",1
3,1,15,43,12,1,2,1,"mixed",1
3,1,8,43,12,1,3,1,"mixed",1
3,1,3,43,12,0,2,1,"mixed",1
3,1,14,43,12,1,2,1,"mixed",1
3,1,41,43,12,1,2,1,"mixed",1
3,1,10,43,12,1,2,1,"mixed",1
3,1,17,43,12,1,2,5,"mixed",1
3,1,30,43,12,1,2,1,"mixed",1
3,1,32,43,12,1,2,7,"mixed",1
3,1,12,43,12,0,3,1,"mixed",1
3,1,2,43,12,1,2,1,"mixed",1
3,1,5,43,12,1,3,1,"mixed",1
3,1,6,43,12,0,2,1,"mixed",1
3,1,15,43,12,0,3,7,"mixed",1
3,1,19,43,12,0,1,1,"mixed",1
3,1,35,43,12,1,1,1,"mixed",1
3,1,10,43,12,0,3,1,"mixed",1
3,1,15,43,12,1,2,1,"mixed",1
3,1,4,43,12,1,2,1,"mixed",1
3,1,16,43,12,0,3,1,"mixed",1
3,1,5,43,12,1,2,1,"mixed",1
3,1,7,43,12,1,2,1,"mixed",1
3,1,14,43,12,0,2,1,"mixed",1
3,1,23,43,12,0,2,1,"mixed",1
3,1,43,43,12,0,1,1,"mixed",1
3,1,14,43,12,1,1,1,"mixed",1
3,1,3,43,12,0,1,1,"mixed",1
3,1,24,43,12,1,2,1,"mixed",1
3,1,12,43,12,1,3,1,"mixed",1
3,1,7,43,12,1,3,1,"mixed",1
3,1,49,43,12,1,2,1,"mixed",1
3,1,24,43,12,0,2,1,"mixed",1
2,2,30,54,26,0,2,1,"mixed",1
2,2,60,54,26,0,1,1,"mixed",1
2,2,48,54,26,0,1,1,"mixed",1
2,2,25,54,26,0,1,1,"mixed",1
2,2,15,54,26,1,2,1,"mixed",1
2,2,30,54,26,1,2,1,"mixed",1
2,2,32,54,26,0,2,11,"mixed",1
2,2,32,54,26,0,1,1,"mixed",1
2,2,1,54,26,0,3,11,"mixed",1
2,2,3,54,26,1,3,10,"mixed",1
2,2,13,54,26,1,2,5,"mixed",1
2,2,17,54,26,0,1,1,"mixed",1
2,2,20,54,26,1,1,11,"mixed",1
2,2,40,54,26,1,1,1,"mixed",1
2,2,45,54,26,1,1,1,"mixed",1
2,2,5,54,26,1,2,5,"mixed",1
2,2,45,54,26,0,1,1,"mixed",1
2,2,2,54,26,1,2,6,"mixed",1
2,2,1,54,26,0,3,4,"mixed",1
2,2,21,54,26,0,1,10,"mixed",1
2,2,29,54,26,1,3,1,"mixed",1
2,2,10,54,26,0,3,11,"mixed",1
2,2,10,54,26,1,2,1,"mixed",1
2,2,30,54,26,0,2,1,"mixed",1
2,2,32,54,26,1,2,1,"mixed",1
2,2,14,54,26,0,2,5,"mixed",1
2,2,38,54,26,1,2,1,"mixed",1
2,2,12,54,26,0,2,5,"mixed",1
2,2,32,54,26,1,1,1,"mixed",1
2,2,39,54,26,0,1,11,"mixed",1
2,2,18,54,26,0,2,1,"mixed",1
2,2,3,54,26,1,3,1,"mixed",1
2,2,11,54,26,0,2,1,"mixed",1
2,2,20,54,26,1,2,1,"mixed",1
2,2,25,54,26,0,2,1,"mixed",1
2,2,13,54,26,0,2,1,"mixed",1
2,2,26,54,26,1,1,1,"mixed",1
2,2,18,54,26,0,2,1,"mixed",1
2,2,35,54,26,1,2,6,"mixed",1
2,2,1,54,26,1,3,2,"mixed",1
2,2,9,54,26,1,3,5,"mixed",1
2,2,46,54,26,1,2,1,"mixed",1
2,2,12,54,26,0,3,1,"mixed",1
2,2,39,54,26,1,2,1,"mixed",1
2,2,14,54,26,0,3,1,"mixed",1
2,2,50,54,26,0,1,1,"mixed",1
2,2,1,54,26,0,2,1,"mixed",1
2,2,41,54,26,1,1,1,"mixed",1
3,2,4,54,26,0,3,1,"mixed",1
3,2,70,54,26,1,1,1,"mixed",1
3,2,56,54,26,1,2,1,"mixed",1
3,2,48,54,26,0,1,1,"mixed",1
3,2,40,54,26,0,2,6,"mixed",1
3,2,28,54,26,0,2,9,"mixed",1
3,2,70,54,26,1,1,11,"mixed",1
3,2,19,54,26,0,3,9,"mixed",1
3,2,1,54,26,1,3,6,"mixed",1
3,2,12,54,26,0,2,5,"mixed",1
3,2,9,54,26,1,3,6,"mixed",1
3,2,47,54,26,1,1,1,"mixed",1
3,2,30,54,26,1,1,1,"mixed",1
3,2,17,54,26,1,3,9,"mixed",1
3,2,11,54,26,1,3,5,"mixed",1
3,2,24,54,26,0,3,5,"mixed",1
3,2,5,54,26,0,3,1,"mixed",1
3,2,46,54,26,0,1,1,"mixed",1
3,2,40,54,26,1,2,1,"mixed",1
3,2,44,54,26,1,1,6,"mixed",1
3,2,22,54,26,0,2,1,"mixed",1
3,2,36,54,26,0,1,1,"mixed",1
3,2,14,54,26,1,2,5,"mixed",1
3,2,4,54,26,1,3,1,"mixed",1
3,2,8,54,26,1,3,9,"mixed",1
3,2,5,54,26,0,3,1,"mixed",1
3,2,38,54,26,1,2,11,"mixed",1
3,2,30,54,26,0,2,1,"mixed",1
3,2,45,54,26,0,1,1,"mixed",1
3,2,8,54,26,0,2,1,"mixed",1
3,2,38,54,26,1,1,1,"mixed",1
3,2,48,54,26,0,1,1,"mixed",1
3,2,41,54,26,1,1,1,"mixed",1
3,2,54,54,26,1,1,11,"mixed",1
3,2,31,54,26,1,2,11,"mixed",1
3,2,39,54,26,1,2,1,"mixed",1
3,2,5,54,26,0,3,1,"mixed",1
3,2,28,54,26,0,2,1,"mixed",1
3,2,2,54,26,0,2,5,"mixed",1
3,2,47,54,26,0,1,1,"mixed",1
3,2,6,54,26,0,2,1,"mixed",1
3,2,49,54,26,0,1,1,"mixed",1
3,2,20,54,26,1,2,1,"mixed",1
1,3,20,24,21,0,1,1,"male",2
1,3,12,24,21,0,2,1,"male",2
1,3,16,24,21,0,3,1,"male",2
1,3,10,24,21,0,2,5,"male",2
1,3,9,24,21,0,2,1,"male",2
1,3,19,24,21,0,2,1,"male",2
1,3,19,24,21,0,2,2,"male",2
1,3,18,24,21,0,2,5,"male",2
1,3,10,24,21,0,2,1,"male",2
1,3,22,24,21,0,2,1,"male",2
1,3,52,24,21,0,1,1,"male",2
1,3,1,24,21,0,3,2,"male",2
1,3,9,24,21,0,1,2,"male",2
1,3,1,24,21,0,3,5,"male",2
1,3,13,24,21,0,2,1,"male",2
1,3,9,24,21,0,3,5,"male",2
1,3,12,24,21,0,2,1,"male",2
1,3,24,24,21,0,2,1,"male",2
1,3,25,24,21,0,1,7,"male",2
1,3,6,24,21,0,2,5,"male",2
1,3,23,24,21,0,2,1,"male",2
1,3,9,24,21,0,2,2,"male",2
1,3,4,24,21,0,2,1,"male",2
1,3,32,24,21,0,1,1,"male",2
1,3,27,24,21,0,1,1,"male",2
1,3,12,24,21,0,3,1,"male",2
1,3,31,24,21,0,1,1,"male",2
1,3,3,24,21,0,2,5,"male",2
1,3,15,24,21,0,2,3,"male",2
1,3,28,24,21,0,2,5,"male",2
1,3,18,24,21,0,2,5,"male",2
1,3,20,24,21,0,1,1,"male",2
1,3,6,24,21,0,3,1,"male",2
2,3,11,37,19,0,3,5,"male",2
2,3,39,37,19,0,1,6,"male",2
2,3,10,37,19,0,3,5,"male",2
2,3,22,37,19,0,2,1,"male",2
2,3,8,37,19,0,2,5,"male",2
2,3,32,37,19,0,2,9,"male",2
2,3,20,37,19,0,2,5,"male",2
2,3,21,37,19,0,2,1,"male",2
2,3,18,37,19,0,3,5,"male",2
2,3,23,37,19,0,2,1,"male",2
2,3,13,37,19,0,3,1,"male",2
2,3,4,37,19,0,3,5,"male",2
2,3,25,37,19,0,2,1,"male",2
2,3,17,37,19,0,2,5,"male",2
2,3,11,37,19,0,2,5,"male",2
2,3,4,37,19,0,3,5,"male",2
2,3,29,37,19,0,2,1,"male",2
2,3,30,37,19,0,1,1,"male",2
2,3,8,37,19,0,2,5,"male",2
2,3,30,37,19,0,2,5,"male",2
2,3,3,37,19,0,2,5,"male",2
2,3,34,37,19,0,1,6,"male",2
2,3,23,37,19,0,2,1,"male",2
2,3,17,37,19,0,2,1,"male",2
2,3,26,37,19,0,1,1,"male",2
2,3,29,37,19,0,1,1,"male",2
2,3,13,37,19,0,2,5,"male",2
2,3,8,37,19,0,2,5,"male",2
2,3,26,37,19,0,2,1,"male",2
3,3,43,37,20,0,1,8,"male",2
3,3,7,37,20,0,3,5,"male",2
3,3,22,37,20,0,2,5,"male",2
3,3,22,37,20,0,1,1,"male",2
3,3,6,37,20,0,1,1,"male",2
3,3,32,37,20,0,2,1,"male",2
3,3,3,37,20,0,3,5,"male",2
3,3,38,37,20,0,1,8,"male",2
3,3,15,37,20,0,2,1,"male",2
3,3,35,37,20,0,1,1,"male",2
3,3,20,37,20,0,1,5,"male",2
3,3,20,37,20,0,2,1,"male",2
3,3,4,37,20,0,2,5,"male",2
3,3,20,37,20,0,2,5,"male",2
3,3,5,37,20,0,2,1,"male",2
3,3,39,37,20,0,1,2,"male",2
3,3,25,37,20,0,2,5,"male",2
3,3,3,37,20,0,3,5,"male",2
3,3,25,37,20,0,1,1,"male",2
3,3,14,37,20,0,2,5,"male",2
3,3,13,37,20,0,1,5,"male",2
3,3,15,37,20,0,2,5,"male",2
3,3,10,37,20,0,2,5,"male",2
3,3,10,37,20,0,2,1,"male",2
3,3,16,37,20,0,3,1,"male",2
3,3,16,37,20,0,2,5,"male",2
3,3,12,37,20,0,1,1,"male",2
3,3,10,37,20,0,2,5,"male",2
3,3,46,37,20,0,2,5,"male",2
3,3,30,37,20,0,2,5,"male",2
3,3,32,37,20,0,2,8,"male",2
3,3,15,37,20,0,2,5,"male",2
3,3,25,37,20,0,2,5,"male",2
1,4,28,20,22,0,2,1,"mixed",2
1,4,33,20,22,1,2,1,"mixed",2
1,4,20,20,22,0,2,1,"mixed",2
1,4,31,20,22,0,2,5,"mixed",2
1,4,38,20,22,1,1,1,"mixed",2
1,4,41,20,22,1,1,1,"mixed",2
1,4,21,20,22,0,1,1,"mixed",2
1,4,32,20,22,1,1,1,"mixed",2
1,4,27,20,22,1,2,1,"mixed",2
1,4,34,20,22,0,1,1,"mixed",2
1,4,12,20,22,1,2,1,"mixed",2
1,4,2,20,22,0,3,1,"mixed",2
1,4,3,20,22,0,3,1,"mixed",2
1,4,16,20,22,0,3,1,"mixed",2
1,4,14,20,22,0,3,1,"mixed",2
1,4,28,20,22,1,2,5,"mixed",2
1,4,9,20,22,0,2,1,"mixed",2
1,4,2,20,22,1,3,1,"mixed",2
1,4,2,20,22,0,3,1,"mixed",2
1,4,16,20,22,0,2,1,"mixed",2
1,4,18,20,22,1,2,1,"mixed",2
1,4,13,20,22,1,3,1,"mixed",2
1,4,54,20,22,1,1,1,"mixed",2
1,4,16,20,22,0,2,1,"mixed",2
1,4,50,20,22,0,1,1,"mixed",2
1,4,24,20,22,0,3,1,"mixed",2
1,4,14,20,22,1,2,1,"mixed",2
1,4,31,20,22,1,1,1,"mixed",2
1,4,3,20,22,1,3,1,"mixed",2
1,4,33,20,22,1,1,1,"mixed",2
1,4,37,20,22,1,1,1,"mixed",2
1,4,3,20,22,1,3,1,"mixed",2
1,4,17,20,22,1,2,1,"mixed",2
1,4,28,20,22,1,1,1,"mixed",2
1,4,29,20,22,0,1,1,"mixed",2
1,4,11,20,22,1,3,1,"mixed",2
1,4,20,20,22,0,1,1,"mixed",2
1,4,8,20,22,0,3,1,"mixed",2
1,4,20,20,22,0,2,1,"mixed",2
1,4,12,20,22,1,2,1,"mixed",2
1,4,36,20,22,1,2,1,"mixed",2
1,4,10,20,22,0,1,1,"mixed",2
1,4,32,20,22,0,2,10,"mixed",2
1,4,14,20,22,1,2,1,"mixed",2
1,4,26,20,22,1,3,1,"mixed",2
1,4,50,20,22,1,1,1,"mixed",2
1,4,21,20,22,0,2,1,"mixed",2
1,4,4,20,22,1,3,1,"mixed",2
1,4,2,20,22,0,3,1,"mixed",2
1,4,22,20,22,1,2,1,"mixed",2
1,4,24,20,22,1,2,1,"mixed",2
1,4,41,20,22,1,1,1,"mixed",2
1,4,20,20,22,0,2,1,"mixed",2
1,4,24,20,22,1,1,1,"mixed",2
1,4,11,20,22,1,3,2,"mixed",2
1,4,27,20,22,0,1,1,"mixed",2
1,4,21,20,22,0,2,1,"mixed",2
1,4,36,20,22,0,1,1,"mixed",2
1,4,26,20,22,0,1,1,"mixed",2
1,4,21,20,22,0,2,1,"mixed",2
1,4,19,20,22,0,2,1,"mixed",2
1,4,23,20,22,0,1,1,"mixed",2
1,4,15,20,22,0,3,1,"mixed",2
1,4,39,20,22,0,1,1,"mixed",2
1,4,3,20,22,0,3,1,"mixed",2
1,4,8,20,22,1,3,1,"mixed",2
1,4,20,20,22,0,2,10,"mixed",2
1,4,5,20,22,0,3,1,"mixed",2
1,4,52,20,22,1,1,1,"mixed",2
1,4,20,20,22,0,2,1,"mixed",2
2,4,8,29,23,0,2,1,"mixed",2
2,4,22,29,23,0,2,1,"mixed",2
2,4,21,29,23,1,2,1,"mixed",2
2,4,24,29,23,1,2,1,"mixed",2
2,4,23,29,23,1,1,1,"mixed",2
2,4,12,29,23,0,2,1,"mixed",2
2,4,16,29,23,0,1,1,"mixed",2
2,4,35,29,23,0,1,1,"mixed",2
2,4,11,29,23,1,3,1,"mixed",2
2,4,15,29,23,0,2,1,"mixed",2
2,4,12,29,23,1,3,1,"mixed",2
2,4,6,29,23,0,3,1,"mixed",2
2,4,4,29,23,0,2,1,"mixed",2
2,4,22,29,23,1,3,1,"mixed",2
2,4,28,29,23,0,2,1,"mixed",2
2,4,36,29,23,1,2,1,"mixed",2
2,4,11,29,23,1,2,5,"mixed",2
2,4,25,29,23,0,1,1,"mixed",2
2,4,16,29,23,0,2,1,"mixed",2
2,4,36,29,23,1,1,1,"mixed",2
2,4,8,29,23,0,2,1,"mixed",2
2,4,23,29,23,1,2,1,"mixed",2
2,4,31,29,23,1,1,1,"mixed",2
2,4,10,29,23,1,2,1,"mixed",2
2,4,2,29,23,1,3,1,"mixed",2
2,4,23,29,23,1,2,1,"mixed",2
2,4,27,29,23,1,2,1,"mixed",2
2,4,20,29,23,1,2,1,"mixed",2
2,4,7,29,23,1,2,1,"mixed",2
2,4,17,29,23,0,1,1,"mixed",2
2,4,9,29,23,0,2,1,"mixed",2
2,4,5,29,23,0,3,1,"mixed",2
2,4,15,29,23,1,2,1,"mixed",2
2,4,26,29,23,0,2,1,"mixed",2
2,4,15,29,23,1,2,1,"mixed",2
2,4,28,29,23,0,1,1,"mixed",2
2,4,17,29,23,0,2,1,"mixed",2
2,4,7,29,23,0,3,1,"mixed",2
2,4,27,29,23,1,2,11,"mixed",2
2,4,44,29,23,1,1,1,"mixed",2
2,4,19,29,23,1,2,1,"mixed",2
2,4,28,29,23,0,2,1,"mixed",2
2,4,1,29,23,1,3,1,"mixed",2
2,4,19,29,23,1,2,1,"mixed",2
2,4,33,29,23,1,2,1,"mixed",2
2,4,27,29,23,1,2,5,"mixed",2
2,4,24,29,23,1,2,1,"mixed",2
2,4,35,29,23,1,2,1,"mixed",2
2,4,34,29,23,0,2,6,"mixed",2
2,4,6,29,23,1,3,1,"mixed",2
2,4,14,29,23,0,2,5,"mixed",2
2,4,13,29,23,1,2,1,"mixed",2
2,4,24,29,23,1,2,1,"mixed",2
2,4,31,29,23,1,1,1,"mixed",2
2,4,33,29,23,1,2,1,"mixed",2
2,4,35,29,23,1,1,1,"mixed",2
2,4,2,29,23,1,3,1,"mixed",2
2,4,14,29,23,0,2,1,"mixed",2
2,4,18,29,23,0,2,1,"mixed",2
2,4,10,29,23,1,3,5,"mixed",2
2,4,22,29,23,1,2,5,"mixed",2
2,4,28,29,23,1,1,1,"mixed",2
2,4,3,29,23,1,3,1,"mixed",2
2,4,41,29,23,0,2,1,"mixed",2
2,4,24,29,23,0,2,1,"mixed",2
2,4,18,29,23,0,2,1,"mixed",2
3,4,18,29,19,0,2,1,"mixed",2
3,4,6,29,19,0,2,1,"mixed",2
3,4,37,29,19,0,1,1,"mixed",2
3,4,15,29,19,0,3,1,"mixed",2
3,4,24,29,19,1,2,1,"mixed",2
3,4,20,29,19,1,3,1,"mixed",2
3,4,16,29,19,1,2,1,"mixed",2
3,4,22,29,19,0,2,1,"mixed",2
3,4,14,29,19,0,2,1,"mixed",2
3,4,30,29,19,1,1,2,"mixed",2
3,4,28,29,19,1,2,1,"mixed",2
3,4,1,29,19,0,3,1,"mixed",2
3,4,16,29,19,1,2,1,"mixed",2
3,4,28,29,19,0,2,1,"mixed",2
3,4,38,29,19,1,2,1,"mixed",2
3,4,8,29,19,0,2,1,"mixed",2
3,4,17,29,19,1,3,1,"mixed",2
3,4,17,29,19,1,3,1,"mixed",2
3,4,19,29,19,1,2,1,"mixed",2
3,4,21,29,19,1,2,1,"mixed",2
3,4,6,29,19,1,3,1,"mixed",2
3,4,2,29,19,1,2,1,"mixed",2
3,4,21,29,19,0,2,1,"mixed",2
3,4,4,29,19,0,3,1,"mixed",2
3,4,9,29,19,0,3,1,"mixed",2
3,4,2,29,19,0,3,1,"mixed",2
3,4,10,29,19,0,2,1,"mixed",2
3,4,26,29,19,1,2,1,"mixed",2
3,4,20,29,19,1,2,1,"mixed",2
3,4,18,29,19,1,2,1,"mixed",2
3,4,10,29,19,0,2,1,"mixed",2
3,4,17,29,19,0,2,1,"mixed",2
3,4,41,29,19,0,1,1,"mixed",2
3,4,19,29,19,0,2,1,"mixed",2
3,4,30,29,19,1,2,5,"mixed",2
3,4,12,29,19,0,2,1,"mixed",2
3,4,12,29,19,0,1,1,"mixed",2
3,4,10,29,19,1,2,1,"mixed",2
3,4,7,29,19,0,3,1,"mixed",2
3,4,32,29,19,0,1,1,"mixed",2
3,4,22,29,19,0,2,1,"mixed",2
3,4,25,29,19,0,1,11,"mixed",2
3,4,27,29,19,1,1,1,"mixed",2
3,4,16,29,19,0,2,1,"mixed",2
3,4,21,29,19,0,2,1,"mixed",2
3,4,10,29,19,1,2,5,"mixed",2
3,4,25,29,19,1,1,1,"mixed",2
3,4,23,29,19,1,2,1,"mixed",2
3,4,20,29,19,1,2,1,"mixed",2
3,4,10,29,19,1,2,1,"mixed",2
3,4,10,29,19,1,3,1,"mixed",2
3,4,5,29,19,0,3,1,"mixed",2
3,4,42,29,19,1,1,1,"mixed",2
3,4,17,29,19,0,2,1,"mixed",2
3,4,6,29,19,0,3,1,"mixed",2
3,4,7,29,19,1,3,1,"mixed",2
3,4,7,29,19,0,2,1,"mixed",2
3,4,10,29,19,0,2,1,"mixed",2
3,4,34,29,19,1,2,1,"mixed",2
3,4,10,29,19,0,2,1,"mixed",2
3,4,11,29,19,0,3,1,"mixed",2
3,4,2,29,19,0,1,1,"mixed",2
3,4,17,29,19,1,1,1,"mixed",2
3,4,28,29,19,0,2,1,"mixed",2
3,4,17,29,19,1,2,1,"mixed",2
3,4,22,29,19,0,1,1,"mixed",2
3,4,19,29,19,1,3,1,"mixed",2
3,4,3,29,19,0,3,1,"mixed",2
3,4,21,29,19,0,2,1,"mixed",2
3,4,37,29,19,1,2,1,"mixed",2
3,4,27,29,19,1,1,1,"mixed",2
3,4,22,29,19,1,2,1,"mixed",2
3,4,28,29,19,0,1,1,"mixed",2
3,4,5,29,19,0,2,1,"mixed",2
3,4,19,29,19,0,1,1,"mixed",2
3,4,8,29,19,0,2,1,"mixed",2
1,5,31,31,24,1,2,5,"mixed",1
1,5,25,31,24,0,1,5,"mixed",1
1,5,10,31,24,0,1,2,"mixed",1
1,5,44,31,24,1,1,1,"mixed",1
1,5,4,31,24,0,2,1,"mixed",1
1,5,12,31,24,0,2,1,"mixed",1
1,5,48,31,24,1,1,7,"mixed",1
1,5,12,31,24,1,3,1,"mixed",1
1,5,14,31,24,0,2,1,"mixed",1
1,5,1,31,24,0,3,8,"mixed",1
1,5,35,31,24,1,2,11,"mixed",1
1,5,5,31,24,0,3,1,"mixed",1
1,5,12,31,24,0,1,11,"mixed",1
1,5,12,31,24,0,2,1,"mixed",1
