"P","SOA","freq","primetype","prime","target","RT"
348,"SOA80","M","PDISS","advusory","ADVISORY",509
354,"SOA80","M","PDISS","advusory","ADVISORY",1241
357,"SOA80","M","PDISS","advusory","ADVISORY",529
320,"SOA80","M","PSIM","advisery","ADVISORY",1515
322,"SOA80","M","PSIM","advisery","ADVISORY",901
326,"SOA80","M","PSIM","advisery","ADVISORY",871
328,"SOA80","M","PSIM","advisery","ADVISORY",434
332,"SOA80","M","PSIM","advisery","ADVISORY",564
334,"SOA80","M","PSIM","advisery","ADVISORY",571
338,"SOA80","M","PSIM","advisery","ADVISORY",328
344,"SOA80","M","PSIM","advisery","ADVISORY",836
346,"SOA80","M","PSIM","advisery","ADVISORY",443
350,"SOA80","M","PSIM","advisery","ADVISORY",508
319,"SOA80","M","UN","exposure","ADVISORY",631
323,"SOA80","M","UN","exposure","ADVISORY",686
325,"SOA80","M","UN","exposure","ADVISORY",680
329,"SOA80","M","UN","exposure","ADVISORY",869
331,"SOA80","M","UN","exposure","ADVISORY",468
337,"SOA80","M","UN","exposure","ADVISORY",568
339,"SOA80","M","UN","exposure","ADVISORY",547
347,"SOA80","M","UN","exposure","ADVISORY",1121
355,"SOA80","M","UN","exposure","ADVISORY",530
501,"SOA47","L","PDISS","iggravate","AGGRAVATE",598
504,"SOA47","L","PDISS","iggravate","AGGRAVATE",509
507,"SOA47","L","PDISS","iggravate","AGGRAVATE",561
510,"SOA47","L","PDISS","iggravate","AGGRAVATE",902
513,"SOA47","L","PDISS","iggravate","AGGRAVATE",1114
516,"SOA47","L","PDISS","iggravate","AGGRAVATE",599
519,"SOA47","L","PDISS","iggravate","AGGRAVATE",506
522,"SOA47","L","PDISS","iggravate","AGGRAVATE",974
525,"SOA47","L","PDISS","iggravate","AGGRAVATE",650
528,"SOA47","L","PDISS","iggravate","AGGRAVATE",654
503,"SOA47","L","PSIM","aggrevate","AGGRAVATE",581
509,"SOA47","L","PSIM","aggrevate","AGGRAVATE",486
511,"SOA47","L","PSIM","aggrevate","AGGRAVATE",570
515,"SOA47","L","PSIM","aggrevate","AGGRAVATE",1017
521,"SOA47","L","PSIM","aggrevate","AGGRAVATE",553
523,"SOA47","L","PSIM","aggrevate","AGGRAVATE",552
535,"SOA47","L","PSIM","aggrevate","AGGRAVATE",646
541,"SOA47","L","PSIM","aggrevate","AGGRAVATE",554
506,"SOA47","L","UN","dandelion","AGGRAVATE",595
508,"SOA47","L","UN","dandelion","AGGRAVATE",527
512,"SOA47","L","UN","dandelion","AGGRAVATE",1070
514,"SOA47","L","UN","dandelion","AGGRAVATE",719
520,"SOA47","L","UN","dandelion","AGGRAVATE",753
524,"SOA47","L","UN","dandelion","AGGRAVATE",485
530,"SOA47","L","UN","dandelion","AGGRAVATE",506
536,"SOA47","L","UN","dandelion","AGGRAVATE",743
325,"SOA80","L","PDISS","iggravate","AGGRAVATE",590
328,"SOA80","L","PDISS","iggravate","AGGRAVATE",482
331,"SOA80","L","PDISS","iggravate","AGGRAVATE",834
334,"SOA80","L","PDISS","iggravate","AGGRAVATE",598
337,"SOA80","L","PDISS","iggravate","AGGRAVATE",618
338,"SOA80","L","PDISS","iggravate","AGGRAVATE",524
346,"SOA80","L","PDISS","iggravate","AGGRAVATE",522
355,"SOA80","L","PDISS","iggravate","AGGRAVATE",680
321,"SOA80","L","PSIM","aggrevate","AGGRAVATE",1516
323,"SOA80","L","PSIM","aggrevate","AGGRAVATE",415
327,"SOA80","L","PSIM","aggrevate","AGGRAVATE",617
329,"SOA80","L","PSIM","aggrevate","AGGRAVATE",929
333,"SOA80","L","PSIM","aggrevate","AGGRAVATE",729
335,"SOA80","L","PSIM","aggrevate","AGGRAVATE",416
339,"SOA80","L","PSIM","aggrevate","AGGRAVATE",931
345,"SOA80","L","PSIM","aggrevate","AGGRAVATE",1045
347,"SOA80","L","PSIM","aggrevate","AGGRAVATE",617
357,"SOA80","L","PSIM","aggrevate","AGGRAVATE",665
326,"SOA80","L","UN","dandelion","AGGRAVATE",711
330,"SOA80","L","UN","dandelion","AGGRAVATE",834
348,"SOA80","L","UN","dandelion","AGGRAVATE",1095
350,"SOA80","L","UN","dandelion","AGGRAVATE",539
501,"SOA47","M","PDISS","aldiance","ALLIANCE",562
504,"SOA47","M","PDISS","aldiance","ALLIANCE",557
507,"SOA47","M","PDISS","aldiance","ALLIANCE",423
510,"SOA47","M","PDISS","aldiance","ALLIANCE",720
513,"SOA47","M","PDISS","aldiance","ALLIANCE",603
516,"SOA47","M","PDISS","aldiance","ALLIANCE",648
519,"SOA47","M","PDISS","aldiance","ALLIANCE",494
522,"SOA47","M","PDISS","aldiance","ALLIANCE",729
525,"SOA47","M","PDISS","aldiance","ALLIANCE",498
528,"SOA47","M","PDISS","aldiance","ALLIANCE",631
503,"SOA47","M","PSIM","allience","ALLIANCE",514
509,"SOA47","M","PSIM","allience","ALLIANCE",847
511,"SOA47","M","PSIM","allience","ALLIANCE",484
515,"SOA47","M","PSIM","allience","ALLIANCE",966
517,"SOA47","M","PSIM","allience","ALLIANCE",747
521,"SOA47","M","PSIM","allience","ALLIANCE",530
523,"SOA47","M","PSIM","allience","ALLIANCE",660
527,"SOA47","M","PSIM","allience","ALLIANCE",511
535,"SOA47","M","PSIM","allience","ALLIANCE",528
541,"SOA47","M","PSIM","allience","ALLIANCE",613
502,"SOA47","M","UN","backward","ALLIANCE",515
506,"SOA47","M","UN","backward","ALLIANCE",566
508,"SOA47","M","UN","backward","ALLIANCE",488
512,"SOA47","M","UN","backward","ALLIANCE",566
514,"SOA47","M","UN","backward","ALLIANCE",864
520,"SOA47","M","UN","backward","ALLIANCE",537
524,"SOA47","M","UN","backward","ALLIANCE",593
526,"SOA47","M","UN","backward","ALLIANCE",520
530,"SOA47","M","UN","backward","ALLIANCE",499
536,"SOA47","M","UN","backward","ALLIANCE",784
319,"SOA80","M","PDISS","aldiance","ALLIANCE",772
322,"SOA80","M","PDISS","aldiance","ALLIANCE",950
325,"SOA80","M","PDISS","aldiance","ALLIANCE",1000
328,"SOA80","M","PDISS","aldiance","ALLIANCE",528
331,"SOA80","M","PDISS","aldiance","ALLIANCE",829
334,"SOA80","M","PDISS","aldiance","ALLIANCE",422
337,"SOA80","M","PDISS","aldiance","ALLIANCE",649
338,"SOA80","M","PDISS","aldiance","ALLIANCE",399
346,"SOA80","M","PDISS","aldiance","ALLIANCE",579
355,"SOA80","M","PDISS","aldiance","ALLIANCE",653
321,"SOA80","M","PSIM","allience","ALLIANCE",594
323,"SOA80","M","PSIM","allience","ALLIANCE",461
327,"SOA80","M","PSIM","allience","ALLIANCE",617
329,"SOA80","M","PSIM","allience","ALLIANCE",641
333,"SOA80","M","PSIM","allience","ALLIANCE",768
335,"SOA80","M","PSIM","allience","ALLIANCE",544
339,"SOA80","M","PSIM","allience","ALLIANCE",549
345,"SOA80","M","PSIM","allience","ALLIANCE",668
347,"SOA80","M","PSIM","allience","ALLIANCE",619
357,"SOA80","M","PSIM","allience","ALLIANCE",617
320,"SOA80","M","UN","backward","ALLIANCE",708
324,"SOA80","M","UN","backward","ALLIANCE",492
326,"SOA80","M","UN","backward","ALLIANCE",565
330,"SOA80","M","UN","backward","ALLIANCE",798
332,"SOA80","M","UN","backward","ALLIANCE",442
336,"SOA80","M","UN","backward","ALLIANCE",589
344,"SOA80","M","UN","backward","ALLIANCE",805
348,"SOA80","M","UN","backward","ALLIANCE",472
350,"SOA80","M","UN","backward","ALLIANCE",480
354,"SOA80","M","UN","backward","ALLIANCE",891
501,"SOA47","L","PDISS","assenor","ASSESSOR",993
504,"SOA47","L","PDISS","assenor","ASSESSOR",950
507,"SOA47","L","PDISS","assenor","ASSESSOR",682
513,"SOA47","L","PDISS","assenor","ASSESSOR",924
516,"SOA47","L","PDISS","assenor","ASSESSOR",603
522,"SOA47","L","PDISS","assenor","ASSESSOR",905
525,"SOA47","L","PDISS","assenor","ASSESSOR",685
503,"SOA47","L","PSIM","assesor","ASSESSOR",617
509,"SOA47","L","PSIM","assesor","ASSESSOR",1449
511,"SOA47","L","PSIM","assesor","ASSESSOR",351
515,"SOA47","L","PSIM","assesor","ASSESSOR",943
523,"SOA47","L","PSIM","assesor","ASSESSOR",689
527,"SOA47","L","PSIM","assesor","ASSESSOR",890
541,"SOA47","L","PSIM","assesor","ASSESSOR",719
502,"SOA47","L","UN","intrepid","ASSESSOR",510
506,"SOA47","L","UN","intrepid","ASSESSOR",908
508,"SOA47","L","UN","intrepid","ASSESSOR",575
512,"SOA47","L","UN","intrepid","ASSESSOR",555
520,"SOA47","L","UN","intrepid","ASSESSOR",557
524,"SOA47","L","UN","intrepid","ASSESSOR",455
526,"SOA47","L","UN","intrepid","ASSESSOR",1019
319,"SOA80","L","PDISS","assenor","ASSESSOR",1378
322,"SOA80","L","PDISS","assenor","ASSESSOR",1037
328,"SOA80","L","PDISS","assenor","ASSESSOR",598
331,"SOA80","L","PDISS","assenor","ASSESSOR",1249
337,"SOA80","L","PDISS","assenor","ASSESSOR",667
346,"SOA80","L","PDISS","assenor","ASSESSOR",758
355,"SOA80","L","PDISS","assenor","ASSESSOR",771
321,"SOA80","L","PSIM","assesor","ASSESSOR",1175
329,"SOA80","L","PSIM","assesor","ASSESSOR",1216
335,"SOA80","L","PSIM","assesor","ASSESSOR",636
339,"SOA80","L","PSIM","assesor","ASSESSOR",533
347,"SOA80","L","PSIM","assesor","ASSESSOR",1061
324,"SOA80","L","UN","intrepid","ASSESSOR",653
326,"SOA80","L","UN","intrepid","ASSESSOR",793
330,"SOA80","L","UN","intrepid","ASSESSOR",1085
332,"SOA80","L","UN","intrepid","ASSESSOR",786
336,"SOA80","L","UN","intrepid","ASSESSOR",973
348,"SOA80","L","UN","intrepid","ASSESSOR",351
350,"SOA80","L","UN","intrepid","ASSESSOR",500
501,"SOA47","M","PDISS","aspociate","ASSOCIATE",556
504,"SOA47","M","PDISS","aspociate","ASSOCIATE",582
507,"SOA47","M","PDISS","aspociate","ASSOCIATE",471
510,"SOA47","M","PDISS","aspociate","ASSOCIATE",545
513,"SOA47","M","PDISS","aspociate","ASSOCIATE",559
516,"SOA47","M","PDISS","aspociate","ASSOCIATE",923
519,"SOA47","M","PDISS","aspociate","ASSOCIATE",479
522,"SOA47","M","PDISS","aspociate","ASSOCIATE",591
525,"SOA47","M","PDISS","aspociate","ASSOCIATE",535
528,"SOA47","M","PDISS","aspociate","ASSOCIATE",632
503,"SOA47","M","PSIM","ascociate","ASSOCIATE",512
509,"SOA47","M","PSIM","ascociate","ASSOCIATE",489
511,"SOA47","M","PSIM","ascociate","ASSOCIATE",563
515,"SOA47","M","PSIM","ascociate","ASSOCIATE",387
517,"SOA47","M","PSIM","ascociate","ASSOCIATE",830
521,"SOA47","M","PSIM","ascociate","ASSOCIATE",497
523,"SOA47","M","PSIM","ascociate","ASSOCIATE",521
527,"SOA47","M","PSIM","ascociate","ASSOCIATE",560
535,"SOA47","M","PSIM","ascociate","ASSOCIATE",600
541,"SOA47","M","PSIM","ascociate","ASSOCIATE",567
502,"SOA47","M","UN","numerical","ASSOCIATE",829
506,"SOA47","M","UN","numerical","ASSOCIATE",555
508,"SOA47","M","UN","numerical","ASSOCIATE",717
512,"SOA47","M","UN","numerical","ASSOCIATE",530
514,"SOA47","M","UN","numerical","ASSOCIATE",414
520,"SOA47","M","UN","numerical","ASSOCIATE",543
524,"SOA47","M","UN","numerical","ASSOCIATE",556
526,"SOA47","M","UN","numerical","ASSOCIATE",618
530,"SOA47","M","UN","numerical","ASSOCIATE",456
536,"SOA47","M","UN","numerical","ASSOCIATE",708
319,"SOA80","M","PDISS","aspociate","ASSOCIATE",888
322,"SOA80","M","PDISS","aspociate","ASSOCIATE",794
325,"SOA80","M","PDISS","aspociate","ASSOCIATE",518
328,"SOA80","M","PDISS","aspociate","ASSOCIATE",669
331,"SOA80","M","PDISS","aspociate","ASSOCIATE",380
334,"SOA80","M","PDISS","aspociate","ASSOCIATE",530
337,"SOA80","M","PDISS","aspociate","ASSOCIATE",630
338,"SOA80","M","PDISS","aspociate","ASSOCIATE",556
346,"SOA80","M","PDISS","aspociate","ASSOCIATE",593
355,"SOA80","M","PDISS","aspociate","ASSOCIATE",683
321,"SOA80","M","PSIM","ascociate","ASSOCIATE",737
323,"SOA80","M","PSIM","ascociate","ASSOCIATE",565
327,"SOA80","M","PSIM","ascociate","ASSOCIATE",543
329,"SOA80","M","PSIM","ascociate","ASSOCIATE",939
333,"SOA80","M","PSIM","ascociate","ASSOCIATE",617
335,"SOA80","M","PSIM","ascociate","ASSOCIATE",482
339,"SOA80","M","PSIM","ascociate","ASSOCIATE",467
345,"SOA80","M","PSIM","ascociate","ASSOCIATE",948
347,"SOA80","M","PSIM","ascociate","ASSOCIATE",642
357,"SOA80","M","PSIM","ascociate","ASSOCIATE",506
320,"SOA80","M","UN","numerical","ASSOCIATE",800
324,"SOA80","M","UN","numerical","ASSOCIATE",613
330,"SOA80","M","UN","numerical","ASSOCIATE",647
332,"SOA80","M","UN","numerical","ASSOCIATE",578
336,"SOA80","M","UN","numerical","ASSOCIATE",559
344,"SOA80","M","UN","numerical","ASSOCIATE",973
348,"SOA80","M","UN","numerical","ASSOCIATE",480
350,"SOA80","M","UN","numerical","ASSOCIATE",717
354,"SOA80","M","UN","numerical","ASSOCIATE",943
503,"SOA47","M","PDISS","astrinomy","ASTRONOMY",520
506,"SOA47","M","PDISS","astrinomy","ASTRONOMY",566
509,"SOA47","M","PDISS","astrinomy","ASTRONOMY",559
512,"SOA47","M","PDISS","astrinomy","ASTRONOMY",433
515,"SOA47","M","PDISS","astrinomy","ASTRONOMY",495
521,"SOA47","M","PDISS","astrinomy","ASTRONOMY",532
524,"SOA47","M","PDISS","astrinomy","ASTRONOMY",382
