"nation","nation_religiosity","age","nation_education","mf_harm","mf_fairness","mf_ingroup","mf_authority","mf_purity","mf_harm_group","mf_fairness_group","mf_purity_group","mf_ingroup_group","mf_authority_group"
"Australia",32,18,981,5.25,5.25,3.6,3.4,2.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5.25,5,5,4.2,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,22,981,5.5,4.75,3.8,3.6,5.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,5.75,5.5,5.2,5,6,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5.25,5,2.6,3.6,2.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,22,981,5,4.5,2.4,2.6,5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,4.75,3.5,3.4,3.6,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,56,981,4.5,3.5,2.6,2.6,2.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5.5,5,4.2,4,2.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,5,4.25,5,4,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5,5,4.6,4,4.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,4.5,3.5,3.8,2.4,3.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,5.25,5.5,5.2,6,5.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,54,981,5.25,5.5,5,4.8,5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,5.5,4.25,5,4.6,5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5,4.25,4.8,3.8,3,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5,4,4,3,3.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5,4,3.4,3,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,5,5.5,5.4,5,4,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5,4.75,4.6,4,3,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5.25,3.75,4.6,4.2,3,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,20,981,5.25,5.25,5.4,4.8,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,6,4.75,3.8,3.4,4.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5.75,4,3.2,2.2,2.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,4.25,3,4.2,2,2.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,34,981,6,5,5.4,5,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,6,5,3.4,4.2,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,6,4,4.2,3.2,2.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5,4,2.4,2.8,2.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5.75,4.5,3.2,3,3,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,22,981,5.25,5.25,4.6,3.8,3.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,3.75,5,3.8,4,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5.75,4.25,5,3.2,3.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5.25,4.5,3.2,2.4,2.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5,4.5,4.4,3,3.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,6,5.25,4.2,4.2,6,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5.5,3.5,3.4,3.4,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,20,981,5.5,3.25,5.4,4.2,3.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5.5,4.5,4.4,3.8,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,6,5.75,5.4,5.6,5.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5,5.5,5,4.6,4,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5,4.75,4.6,4.8,2.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5,3.75,4,3.4,3.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,6,5.75,5,3,2.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5.25,5.25,5.6,4.8,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,5.5,4.5,5.4,4.2,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,6,5.5,4.8,4.2,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,5.5,3.75,5.2,3.6,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,6,5.25,3.2,4.4,5.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,5,3.25,2.2,3.4,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,17,981,6,5.5,6,3.2,5.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5.75,5.75,4.8,4.5,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Austria",55,20,858,5.5,4.5,4.6,4,4.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,31,858,6,5.5,4,3,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,23,858,4.75,4.5,3.2,2.4,4.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,22,858,5,4,3.8,1.8,2.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,30,858,4.5,4,3.8,3.8,4.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,21,858,5,4.75,3.6,3,4.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,26,858,5.5,5.25,4.8,2.6,3.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,21,858,5.25,4,3.4,2.2,2.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,20,858,4.75,4.75,4.4,2,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,21,858,6,5.5,4.6,3.8,4.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,20,858,5.25,5,5.2,3.6,3.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,19,858,4.25,4.25,3.2,3.4,3.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,22,858,6,6,4.4,3.8,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,20,858,4.75,4.5,4.8,4.8,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,NA,858,5.5,4,5,3.2,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,28,858,5.25,5.5,3.6,4.4,3.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,27,858,5.75,5.25,3.6,3,5.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,20,858,5.25,4.25,5,2.8,3.66666666666667,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,31,858,5,4.25,4.4,3.8,4.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,21,858,5.5,4.25,4.2,2.6,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,25,858,5,3.25,2.2,2,3.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,22,858,4.5,4.5,4.4,3.4,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,28,858,4.5,4,4,2.2,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,20,858,5,5.25,4,3.4,4.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,28,858,3.75,5,4.75,2.6,3,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,53,858,5.75,4.75,4.4,5.4,3.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,21,858,4.5,3.25,4.6,3.2,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,49,858,6,5.25,4.8,3.4,5.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,19,858,5.5,5.75,5,5.2,5.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,26,858,5.25,5,4,3,4.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,28,858,4.75,3.75,3,1.8,3.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,25,858,5.25,4.25,4.4,3.2,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,19,858,5.25,4.5,3.2,2,2.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,5.25,4.5,3.8,2.8,3.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,6,5.5,4.6,2,1,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,22,858,5.75,5.5,4.8,4.4,4.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,20,858,5.75,5.25,5.2,3.8,5.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,6,4.25,3.6,2.8,3.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,19,858,5.75,4.75,4.8,3,5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,18,858,4.5,3.5,5.2,2,3.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,6,6,4,1.8,4.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,27,858,6,6,5.2,3.6,5.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,22,858,6,5.25,4.6,4.2,5.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,6,5,2,2.2,4.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,20,858,5.5,4.25,3.2,2.4,4.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,5.25,3,2.4,3.4,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,28,858,4.75,3.75,3.2,2.2,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,5,4.75,3.2,3,3.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,23,858,5.25,4.25,4.2,3.4,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,28,858,6,5.75,4,3,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,24,858,5.5,5,4.4,3.6,3.5,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,23,858,5.25,4.75,3.8,3.2,4,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,25,858,5.25,4.75,4.6,3.8,4.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,25,858,5,4,3.6,3.6,3.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,21,858,5,5,4.4,4.4,4.75,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"Austria",55,38,858,5.75,6,5.6,4.8,5.25,5.29017857142857,4.70089285714286,3.98511904761905,4.12053571428571,3.18214285714286
"belgium",33,20,882,6,3.75,5.2,4.2,2.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,4.25,3.75,3.4,3,3.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.5,3.5,3.6,3.4,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,4.75,3.75,3.8,3.4,3.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.75,5,4.6,4.4,4.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.5,3.75,4.6,2.6,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.5,4.25,3.8,4,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,3.75,4.25,3.6,4,3,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,5.5,4.75,4.2,3.4,3.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5,3.75,3.2,3,3.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,4.75,3.5,5,1.2,2.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,3.75,3.25,3.8,3.6,3.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.25,3.5,3.8,3,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.25,4,4,2.4,3.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.5,5.5,5,4.4,5.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.75,4.5,3.6,4,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.75,3.5,3.8,3.2,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.75,4.5,3.4,3.4,3.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,20,882,5.25,4.75,3.8,4.2,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,8,882,4.75,5,4.8,5,5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5,3.75,4,3.4,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5,3.5,3.6,2.4,3.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.75,4.75,4.4,3.6,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,20,882,4.5,3.75,4.4,3.8,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,NA,882,5.75,5,4.2,4.2,5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5,4.5,4.4,3.2,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.25,3.5,3.4,3.4,3.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,3.75,3.75,3.8,3.6,3,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,4,4,4,4,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.5,5.25,5,5.2,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,6,6,6,6,6,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,5.5,3.75,3.4,2.4,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,3.75,3.75,3.6,3.2,3.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.25,4.25,4.4,3.6,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.25,3.75,4,3.6,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4,4,4,4,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,5.75,4.75,3.6,3.6,5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,NA,882,5.25,4.5,2.8,4.2,5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.5,5,5.4,4.4,5.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,20,882,4.75,4.5,3.8,4,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,5.75,5,4.8,5,4.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4,4.5,3.2,3.4,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,3,4,3.4,3.2,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4,3.5,4,3,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,20,882,3.25,3,2.6,2.6,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.75,4.25,3.2,3.2,3.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.25,4.25,4.8,3.8,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.25,4,4.4,4,3,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,6,4.5,4.8,3.6,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,21,882,5.5,3.75,3.6,3,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4,4,4,4,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.5,5,5.2,4,4.75,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.75,5.25,4.6,4,5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,4.25,4.25,3.6,4,4,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,5,4.5,4.2,3.6,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,21,882,5.75,4.75,4,3.4,4.25,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,3.75,3.75,4.2,3.8,3.5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,18,882,5.75,4.5,4.6,3.8,5,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
"belgium",33,19,882,3.25,3.5,3.4,3.4,3,4.69345238095238,4.11011904761905,3.89732142857143,3.95238095238095,3.57142857142857
