"ID","Cond.1","Cond.2","Cond.3","Cond.4"
191,NA,1,NA,NA
192,NA,NA,NA,1
193,1,NA,NA,NA
194,NA,NA,NA,1
195,1,NA,NA,NA
196,1,NA,NA,NA
197,NA,NA,NA,1
198,NA,NA,1,NA
199,1,NA,NA,NA
200,NA,NA,1,NA
201,NA,NA,NA,1
202,NA,NA,1,NA
203,1,NA,NA,NA
204,NA,1,NA,NA
205,NA,1,NA,NA
206,NA,1,NA,NA
207,NA,NA,1,NA
208,NA,NA,NA,1
209,NA,NA,1,NA
210,1,NA,NA,NA
211,NA,1,NA,NA
212,NA,NA,NA,1
213,1,NA,NA,NA
214,NA,1,NA,NA
215,NA,NA,1,NA
216,NA,1,NA,NA
217,1,NA,NA,NA
218,NA,1,NA,NA
219,NA,NA,NA,1
220,NA,NA,NA,1
221,NA,NA,1,NA
222,NA,1,NA,NA
223,1,NA,NA,NA
224,NA,NA,NA,1
225,NA,1,NA,NA
226,NA,1,NA,NA
227,NA,NA,1,NA
228,NA,NA,1,NA
229,NA,NA,1,NA
230,NA,NA,NA,1
231,1,NA,NA,NA
232,NA,NA,NA,1
233,NA,NA,NA,1
234,NA,NA,1,NA
235,NA,NA,1,NA
236,NA,1,NA,NA
237,NA,NA,NA,1
238,1,NA,NA,NA
239,1,NA,NA,NA
240,NA,1,NA,NA
241,NA,NA,NA,1
242,NA,NA,1,NA
243,1,NA,NA,NA
244,NA,NA,1,NA
245,NA,1,NA,NA
246,1,NA,NA,NA
247,1,NA,NA,NA
248,NA,NA,NA,1
249,NA,1,NA,NA
250,NA,1,NA,NA
251,NA,NA,NA,1
252,NA,NA,NA,1
253,NA,NA,1,NA
254,NA,NA,1,NA
255,1,NA,NA,NA
256,1,NA,NA,NA
257,NA,NA,NA,1
258,NA,NA,1,NA
259,NA,1,NA,NA
260,NA,NA,NA,1
261,1,NA,NA,NA
262,NA,NA,NA,1
263,1,NA,NA,NA
264,NA,NA,1,NA
265,NA,1,NA,NA
266,NA,NA,1,NA
267,NA,NA,NA,1
268,NA,1,NA,NA
269,1,NA,NA,NA
270,NA,NA,NA,1
271,1,NA,NA,NA
272,NA,1,NA,NA
273,NA,NA,1,NA
274,NA,NA,NA,1
275,NA,NA,1,NA
276,1,NA,NA,NA
277,1,NA,NA,NA
278,NA,NA,1,NA
279,NA,1,NA,NA
280,NA,NA,NA,1
281,NA,NA,1,NA
282,1,NA,NA,NA
283,NA,NA,1,NA
284,NA,1,NA,NA
285,NA,NA,NA,1
286,1,NA,NA,NA
287,NA,NA,NA,1
288,NA,NA,1,NA
289,NA,NA,1,NA
290,NA,1,NA,NA
291,NA,NA,NA,1
292,1,NA,NA,NA
293,NA,1,NA,NA
294,NA,NA,NA,1
295,NA,NA,1,NA
296,1,NA,NA,NA
297,1,NA,NA,NA
298,NA,NA,NA,1
299,NA,1,NA,NA
300,NA,NA,1,NA
301,NA,NA,1,NA
302,NA,NA,NA,1
303,1,NA,NA,NA
304,NA,1,NA,NA
305,NA,NA,NA,1
306,NA,1,NA,NA
307,1,NA,NA,NA
308,NA,NA,NA,1
309,1,NA,NA,NA
310,NA,1,NA,NA
311,NA,NA,NA,1
312,NA,1,NA,NA
313,NA,1,NA,NA
314,NA,NA,1,NA
315,NA,1,NA,NA
316,NA,NA,NA,1
317,1,NA,NA,NA
318,NA,NA,1,NA
319,NA,NA,1,NA
320,NA,NA,NA,1
321,NA,1,NA,NA
322,1,NA,NA,NA
